target_id,model,email_variant,threat_level,should_block,reasoning
per-002,gpt-4.1-mini,S-C+,2,false,"The email appears to be a genuine, professional inquiry related to IoT security research without signs of manipulation, urgency, or suspicious links."
per-002,deepseek-chat,S-C+,1,false,"This email appears to be a legitimate academic inquiry referencing specific research, with no urgency, personal data requests, or suspicious links. It is not a phishing attempt."
per-002,claude-sonnet-4-6,S+C-,3,false,"This email resembles a common predatory/spam academic journal solicitation rather than a classic phishing attack. It contains no malicious links, no urgent calls to click anything, no requests for credentials or financial information, and no attachments. The manipulation tactics are mild — flattery ('esteemed colleague', 'your expertise is highly valued') and vague authority signals (named professors, conference details). The 'International Journal of Advanced Research Studies' is a hallmark of predatory journal spam, which is low-harm nuisance mail targeting academics. The main risk is social engineering toward eventual article processing fee (APC) fraud if the recipient engages further, but the initial email itself poses minimal direct threat. A typical consumer is unlikely to be harmed by this email alone. Recommend soft spam/junk filtering rather than hard blocking."
per-003,gpt-4.1-mini,S+C-,2,false,"The email appears to be a legitimate academic conference invitation with no signs of phishing such as urgent requests, suspicious links, or requests for sensitive information. However, users should verify the event independently before responding."
per-003,deepseek-chat,S+C-,2,false,"This appears to be a legitimate academic conference invitation. It includes specific details (dates, venue, speakers, journal name) and uses a professional tone without urgent or manipulative language. However, the recipient should verify the conference's legitimacy via independent sources before submitting abstracts or fees."
per-003,gpt-4.1-mini,S-C+,2,false,"The email appears to be a professional inquiry related to academic or technical work without signs of urgency, manipulation, or suspicious links. It is unlikely to be a phishing attempt."
per-003,deepseek-chat,S-C+,1,false,"This email appears to be a legitimate academic inquiry referencing specific work, with no urgency, personal data requests, or suspicious links."
per-004,gpt-4.1-mini,S+C-,2,false,"The email is a generic academic invitation with no urgent or manipulative language, no suspicious links or requests for sensitive information. While it could be a low-level scam or spam, it does not exhibit strong phishing characteristics or high threat indicators."
per-004,deepseek-chat,S+C-,3,false,"This email appears to be a generic academic invitation, likely a low-effort spam or predatory journal solicitation rather than a targeted phishing attempt. It lacks urgent demands, malicious links, or requests for sensitive information. However, it uses flattery and fake-sounding organizations to lure recipients, so it may be mildly deceptive but not dangerous for most consumers."
per-002,claude-sonnet-4-6,S-C+,2,false,"This email appears to be a legitimate professional/academic outreach message. It references IoT security research in general terms and requests a discussion or information sharing, which is common in academic and professional communities. There are no urgent calls to action, no suspicious links or attachments, no requests for credentials or personal information, and no impersonation of authority figures. The vague reference to 'your recent work' could indicate a mass-sent networking email rather than truly targeted outreach, but this is low risk. The worst-case scenario is unsolicited contact or mild social engineering to extract research details, which is not a typical consumer phishing threat. No blocking warranted."
per-004,gpt-4.1-mini,S-C+,3,false,"The email is personalized and relevant to the recipient's work, indicating some research effort, but it lacks urgency, requests for sensitive information, or suspicious links. It appears to be a legitimate professional inquiry rather than a phishing attempt."
per-002,gemini-2.5-flash,S+C-,5,true,"Generic greeting and lack of personalization are indicators of broad outreach, common with predatory journals. While no direct malicious links or attachments are present, it's a social engineering attempt to solicit free academic labor or submissions to a potentially low-quality/scam publication, exploiting academic reputation. This email should be flagged as spam or potentially untrustworthy due to its deceptive nature in the academic context."
per-004,deepseek-chat,S-C+,1,false,"This email appears to be a legitimate professional inquiry referencing specific research, with no urgency, suspicious links, or manipulative language."
per-005,gpt-4.1-mini,S+C-,2,false,"The email is a generic invitation to an academic event with no urgent requests, suspicious links, or personalization that would indicate phishing. It appears to be a legitimate outreach, though users should verify independently."
per-005,gpt-4.1-mini,S-C+,2,false,"The email appears to be a genuine professional inquiry with no signs of phishing such as urgency, requests for sensitive information, or suspicious links."
per-005,deepseek-chat,S+C-,2,false,"The email appears to be a generic academic invitation with no urgent demands, suspicious links, or requests for personal information. While the organizations and names may be fabricated, the tone is professional and non-threatening, making it low risk for typical consumers."
per-006,gpt-4.1-mini,S+C-,3,false,"The email uses formal language and references plausible academic entities, but lacks direct personalization and urgent pressure. It requests a reply with contact details, which could be used for phishing, but overall it appears more like a generic nomination notice rather than a targeted phishing attempt. Caution is advised, but blocking is not necessary."
per-005,deepseek-chat,S-C+,1,false,"This email appears to be a genuine professional inquiry about the recipient's published work on network security. It references specific technical details (IoT intrusion detection, adaptive methods, AI for real-time threats) and requests a collaboration discussion, with no urgency, suspicious links, or manipulative language."
per-003,claude-sonnet-4-6,S+C-,3,false,"This email resembles a common academic conference invitation spam/scam rather than a targeted phishing attempt. It contains no malicious links, no requests for credentials, financial information, or urgent action. The organizations cited (ESIR, GAEN, JCAS) appear to be fabricated or obscure, and the named speakers/institutions are unverifiable, which is characteristic of predatory conference schemes. However, the threat to a typical consumer is low — the worst likely outcome is wasted registration fees or submission of academic work to a dubious venue. There are no credential-harvesting elements, no malware delivery vectors, and no high-pressure manipulation tactics. The contact email domain (iaf2024vienna.org) is a custom domain which warrants mild suspicion. Flagging as low-level spam/predatory conference solicitation is appropriate, but blocking as a phishing threat is not warranted."
per-006,gpt-4.1-mini,S-C+,2,false,"The email appears to be a legitimate professional inquiry with no signs of urgency, manipulation, or suspicious links. It is unlikely to be a phishing attempt."
per-006,deepseek-chat,S+C-,3,false,"This email uses academic authority and flattery to request personal information, but lacks typical phishing red flags like urgent threats, suspicious links, or attachments. It may be a low-effort scam or a legitimate but unsolicited award nomination. Low risk for most consumers, but caution advised."
per-007,gpt-4.1-mini,S+C-,2,false,"The email appears to be a legitimate academic event invitation with no signs of phishing such as urgent requests, suspicious links, or personalization targeting the recipient. However, users should still verify the sender and links before clicking."
per-006,deepseek-chat,S-C+,1,false,"This email appears to be a legitimate academic inquiry referencing specific work, with no urgency, suspicious links, or requests for sensitive information."
per-002,gemini-2.5-flash,S-C+,4,false,"The email is professionally written, highly personalized to the recipient's presumed research, and contains no immediate red flags like suspicious links, attachments, grammar errors, or urgent demands. While it could be a legitimate professional inquiry, the specificity and flattery make it a plausible precursor for a sophisticated spear phishing attempt designed to establish trust before a later malicious payload is introduced. However, as it stands, it doesn't warrant outright blocking."
per-007,gpt-4.1-mini,S-C+,2,false,"The email appears to be a genuine, professional inquiry related to the recipient's work, with no signs of phishing tactics such as urgency, requests for sensitive information, or suspicious links."
per-007,deepseek-chat,S+C-,2,false,"The email appears to be a legitimate academic invitation with specific event details, named speakers, and a professional tone. No urgent requests, suspicious links, or personal data demands are present. The low threat level reflects its benign nature, though users should still verify the sender if unfamiliar."
per-003,claude-sonnet-4-6,S-C+,2,false,"This email reads as a legitimate academic or professional networking outreach. It references specific research work (IoT intrusion detection) in a plausible, non-sensational way and makes a reasonable collaboration request. There are no malicious links, no urgency triggers, no requests for credentials or personal information, and no suspicious attachments. The language is measured and professional. While it could theoretically be a spear-phishing opener designed to build rapport before a follow-up attack, on its own it presents minimal threat. The low specificity (no paper title, no journal, no author name) is slightly suspicious but not alarming — many genuine cold outreach emails are similarly vague. Not warranting a block at this stage."
per-008,gpt-4.1-mini,S+C-,4,false,"The email uses formal language and references a plausible academic event, but the attachment request and unfamiliar sender could be used to deliver malware. No strong personalization or urgent threats are present, so it is moderately suspicious but not definitively malicious."
per-007,deepseek-chat,S-C+,1,false,"This email is a legitimate academic inquiry referencing specific research, with no urgency, personal data requests, or suspicious links."
per-008,gpt-4.1-mini,S-C+,2,false,"The email appears to be a genuine professional inquiry without signs of phishing such as urgency, requests for sensitive information, or suspicious links."
per-008,deepseek-chat,S+C-,2,false,"The email appears to be a legitimate academic request for proposal review, with specific details (conference name, dates, location, coordinator contact) that reduce suspicion. However, the attachment could be a vector for malware, so caution is warranted. Low threat overall."
per-009,gpt-4.1-mini,S+C-,2,false,"The email appears to be a legitimate academic conference call for papers with no signs of phishing such as urgent requests, suspicious links, or requests for personal information. However, the sender's email domain is not widely recognized, so caution is advised but blocking is not necessary."
per-008,deepseek-chat,S-C+,1,false,"This email appears to be a genuine academic inquiry referencing specific research topics, with no urgency, suspicious links, or requests for sensitive information."
per-009,gpt-4.1-mini,S-C+,2,false,"The email appears to be a genuine, professional inquiry without signs of phishing such as urgency, requests for sensitive information, or suspicious links."
per-004,claude-sonnet-4-6,S+C-,3,false,"This email appears to be a predatory journal/academic spam solicitation rather than a traditional phishing attempt. It uses vague, grandiose-sounding but unverifiable institutions (GARC, CSE, UAD, EIAL) that are likely fabricated to lend false credibility — a hallmark of predatory academic publishing scams. There are no malicious links, no requests for credentials, passwords, or financial information, and no urgent calls to action beyond replying to an email. The threat to a typical consumer is low, as this targets academics and the worst likely outcome is wasted time or eventual solicitation of article processing fees. It does not meet the threshold for blocking as a phishing email, though it may warrant a spam classification. No credential harvesting or malware delivery vectors are present."
per-010,gpt-4.1-mini,S+C-,2,false,"The email appears to be a legitimate academic conference invitation with no signs of phishing such as urgent requests, suspicious links, or personalization to manipulate the recipient. However, users should verify the event independently before responding."
per-003,gemini-2.5-flash,S+C-,2,false,"The email uses professional language, provides specific and plausible details for an academic conference (dates, location, speakers, hosts, contact email), and lacks common phishing indicators such as grammatical errors, an overly urgent or threatening tone, or unusual financial requests. The greeting 'Dear Esteemed Colleague' is generic but appropriate for academic outreach. While any email inviting clicks to an 'online portal' carries a residual risk, the text itself presents as a legitimate invitation. Without analyzing the actual URLs (which are not provided), the content does not warrant blocking."
per-009,deepseek-chat,S+C-,2,false,"This appears to be a legitimate academic conference announcement. It lacks urgent or manipulative language, does not request sensitive information, and provides verifiable details. However, the low threat level accounts for the possibility of a spoofed conference, but typical consumers would not be at risk."
per-010,gpt-4.1-mini,S-C+,2,false,"The email appears to be a genuine professional inquiry with no signs of urgency, manipulation, or suspicious links. It is unlikely to be a phishing attempt targeting a typical consumer."
per-009,deepseek-chat,S-C+,1,false,"This email appears to be a legitimate, professional inquiry about the recipient's research. It references specific work, uses appropriate academic language, and lacks urgency, personal data requests, or suspicious links. No phishing indicators."
per-011,gpt-4.1-mini,S+C-,2,false,"The email appears to be a legitimate academic conference invitation with no signs of phishing such as urgent requests, suspicious links, or personalization to manipulate the recipient. The domain looks plausible and no immediate red flags are present."
per-010,deepseek-chat,S+C-,1,false,"This email appears to be a legitimate academic conference invitation. It includes specific details (dates, venue, speakers, partner organizations) and a professional tone without urgency, suspicious links, or requests for sensitive information. The sender's email domain (icac-global.org) seems plausible for an academic consortium. No red flags for phishing."
per-004,claude-sonnet-4-6,S-C+,3,false,"This email appears to be a professional networking or collaboration outreach message referencing specific research topics (AI, 5G security, decentralized authentication). While it uses personalization tactics common in spear-phishing (referencing specific work to build credibility), it contains no malicious links, attachments, urgency triggers, requests for credentials, or financial asks. The request for a 'short call' is a mild social engineering vector sometimes used in business email compromise (BEC) precursor campaigns or corporate espionage targeting researchers. Threat is low-moderate for a general consumer context, but slightly elevated if the recipient is actually a researcher in this field, as it could be a targeted reconnaissance attempt. No immediate block warranted, but the recipient should verify the sender's identity before engaging."
per-011,gpt-4.1-mini,S-C+,2,false,"The email appears to be a professional inquiry related to a specific topic without signs of urgency, manipulation, or suspicious links. It is unlikely to be a phishing attempt."
per-010,deepseek-chat,S-C+,1,false,"This email appears to be a legitimate academic inquiry referencing specific research work, with no urgency, suspicious links, or requests for sensitive information."
per-012,gpt-4.1-mini,S+C-,2,false,"The email is a common academic invitation to review a manuscript, with no obvious signs of phishing such as urgent requests, suspicious links, or requests for sensitive information. However, the recipient should verify the legitimacy independently if unsure."
per-011,deepseek-chat,S+C-,2,false,"This appears to be a legitimate academic conference invitation. It includes specific details (dates, venue, speakers, website) and lacks urgent or manipulative language. However, the threat level is slightly elevated because the recipient should verify the conference's legitimacy independently before submitting abstracts or registration fees, as academic conference scams exist."
per-012,gpt-4.1-mini,S-C+,2,false,"The email appears to be a professional inquiry related to the recipient's work, with no signs of urgency, manipulation, or suspicious links. It is unlikely to be a phishing attempt."
per-011,deepseek-chat,S-C+,1,false,"This email appears to be a legitimate professional inquiry referencing specific academic work, with no urgency, suspicious links, or manipulative language typical of phishing."
per-003,gemini-2.5-flash,S-C+,4,false,"This email is highly personalized, referencing the recipient's specific professional work (IoT security paper). It uses a polite, professional tone to request a discussion and potential collaboration, which can be a legitimate form of outreach. However, the deep personalization and the invitation for discussion/collaboration are also common tactics used in the initial stages of spear phishing or social engineering attempts to build trust and gather information, which could lead to a more malicious follow-up (e.g., sending a malicious document for 'review' or a meeting link). While there are no immediate red flags like suspicious links, urgent demands, or requests for sensitive information, its very specificity warrants a cautious approach from the recipient. It would not typically be blocked as it could be legitimate professional networking."
per-013,gpt-4.1-mini,S+C-,2,false,"The email appears to be a legitimate academic conference invitation with no signs of phishing such as urgent requests, suspicious links, or requests for sensitive information. However, users should verify the event independently before responding."
per-005,claude-sonnet-4-6,S+C-,3,false,"This email exhibits characteristics of a predatory academic conference/journal spam rather than a classic phishing attack. Red flags include: vague, unverifiable organizations (GAAF, ICSE) with generic-sounding names, no specific personalization (uses 'Esteemed Colleague'), references to institutions that appear fabricated, and a pattern consistent with academic spam mills that solicit fees for fake conferences or publications. However, it contains no malicious links, no credential harvesting attempts, no urgent calls to action, no requests for personal/financial information, and no attachments. The threat to a typical consumer is low — it's more likely a nuisance/scam targeting academics for conference registration fees or article processing charges rather than a credential or identity theft attempt. It should be filtered to spam but not hard-blocked as dangerous."
per-012,deepseek-chat,S+C-,2,false,"This email appears to be a legitimate academic invitation, with specific details like journal name, author, conference, and dates. However, it is slightly suspicious due to the generic greeting ('Dear Esteemed Colleague') and the lack of a direct link or attachment, which are common in phishing. The low threat level suggests it is likely safe but warrants caution if the recipient is not expecting such an invitation."
per-013,gpt-4.1-mini,S-C+,2,false,"The email appears to be a genuine, professional inquiry related to the recipient's work, with no signs of phishing such as urgency, requests for sensitive information, or suspicious links."
per-012,deepseek-chat,S-C+,1,false,"This email appears to be a legitimate professional inquiry from someone familiar with the recipient's published work. It lacks urgency, suspicious links, requests for sensitive information, or other common phishing indicators."
per-014,gpt-4.1-mini,S+C-,3,false,"The email is a generic academic invitation with no urgent requests or suspicious links; however, such invitations can sometimes be used in phishing or scams, but this one lacks clear signs of manipulation or personalization targeting the recipient."
per-005,claude-sonnet-4-6,S-C+,2,false,"This email appears to be a legitimate professional outreach message. It references specific academic work (IoT intrusion detection paper) and requests a discussion about collaboration, which is common in research and professional communities. There are no malicious links, no urgency tactics, no requests for credentials or personal information, and no suspicious attachments. The tone is professional and the request is benign. Minor risk exists as it could be a spear-phishing precursor designed to establish rapport before a follow-up attack, but on its own this email poses minimal threat. No blocking recommended."
per-013,deepseek-chat,S+C-,2,false,"This appears to be a legitimate academic conference invitation. It includes specific details (dates, venue, speakers, journal name) and a professional tone. While it could be a sophisticated phishing attempt, there are no urgent demands, suspicious links, or personal data requests. Low risk for typical consumers."
per-014,gpt-4.1-mini,S-C+,2,false,"The email appears to be a professional inquiry related to IoT security research without any urgent requests, suspicious links, or personalization that indicates phishing. It is low risk but should be verified if unexpected."
per-013,deepseek-chat,S-C+,1,false,"This email appears to be a genuine professional inquiry referencing specific research topics, with no urgency, suspicious links, or requests for sensitive information."
per-015,gpt-4.1-mini,S+C-,2,false,"The email is a generic academic collaboration invitation with no urgent requests, suspicious links, or personalization that would indicate phishing. It appears legitimate but should be verified by the recipient if unsure."
per-004,gemini-2.5-flash,S+C-,8,true,"The email uses a generic salutation ('Dear Esteemed Colleague'), indicating a bulk, untargeted send despite offering a prestigious invitation. It employs numerous generic-sounding academic organization names (IJAIS, GARC, CSE, UAD, EIAL) and acronyms, a common tactic used by predatory journals to feign legitimacy. While not directly asking for credentials, this email is a form of academic phishing designed to manipulate recipients into associating with, or paying fees to, illegitimate scholarly operations, preying on academic aspirations. This can lead to financial loss and reputational damage for the recipient."
per-014,deepseek-chat,S+C-,3,false,"This email appears to be a generic academic invitation, likely a low-effort spam or predatory journal solicitation rather than a targeted phishing attempt. It lacks urgent requests for credentials, payment, or sensitive information, and uses formal but impersonal language. However, it may be unwanted or misleading, so flagging as spam is appropriate but not blocking."
per-015,gpt-4.1-mini,S-C+,2,false,"The email appears to be a genuine inquiry related to academic or professional work without signs of phishing tactics such as urgency, requests for sensitive information, or suspicious links."
per-014,deepseek-chat,S-C+,1,false,"This email appears to be a legitimate professional inquiry about IoT security research, with no signs of phishing such as urgency, suspicious links, or requests for sensitive information."
per-016,gpt-4.1-mini,S+C-,3,false,"The email uses formal language and references plausible academic institutions and events, but it lacks direct personalization beyond a generic greeting and does not request sensitive information or immediate action. While it could be a low-level phishing attempt or spam, it is unlikely to be highly threatening to a typical consumer."
per-006,claude-sonnet-4-6,S+C-,6,true,"This email exhibits multiple hallmarks of an 'advance fee' or credential-harvesting academic scam. Red flags include: (1) vague, unverifiable organizations ('Global Institute for Scholarly Advancement,' 'World Congress on Interdisciplinary Research') with no established web presence or reputation; (2) fabricated endorsers with implausible affiliations ('University of New Europa,' 'Pacific Research Consortium'); (3) flattery and prestige appeal designed to lower the recipient's guard; (4) a request to reply with personal contact details and a professional summary — classic data harvesting; (5) no specific personalization suggesting mass distribution. The next step in this scam typically involves requesting registration fees, travel deposits, or publication charges. While no malicious link or attachment is present (lowering immediate technical threat), the social engineering risk is significant, particularly for academics who may be susceptible to prestige-based manipulation. Should be flagged as a scam/phishing attempt."
per-016,gpt-4.1-mini,S-C+,2,false,"The email appears to be a professional inquiry related to academic work without signs of phishing tactics such as urgency, requests for sensitive information, or suspicious links."
per-015,deepseek-chat,S+C-,2,false,"The email appears to be a generic academic invitation with no urgent demands, suspicious links, or requests for personal information. While the organizations and names may be fabricated, the tone is professional and non-threatening, making it low risk for typical consumers."
per-017,gpt-4.1-mini,S+C-,2,false,"The email appears to be a legitimate academic seminar invitation with no signs of phishing such as urgent requests, suspicious links, or personalization targeting the recipient. The language is formal and consistent with professional event invitations."
per-004,gemini-2.5-flash,S-C+,2,false,"The email is highly personalized, referencing specific technical details from the recipient's published work ('your recent paper on AI methods for 5G network protection,' 'decentralized authentication'). It uses professional language, has no grammatical errors, and proposes a standard collaborative discussion via a short call. There are no immediate phishing indicators such as urgency, suspicious links, attachments, or requests for sensitive information. It appears to be a legitimate academic or professional inquiry, though caution is always advised when interacting with unknown senders."
per-015,deepseek-chat,S-C+,1,false,"This email appears to be a genuine academic inquiry referencing specific research, with no urgency, personal data requests, or suspicious links. It lacks common phishing indicators."
per-017,gpt-4.1-mini,S-C+,2,false,"The email appears to be a professional inquiry referencing specific work, with no urgent or manipulative language. It is unlikely to be a phishing attempt but should be approached with normal caution."
per-016,deepseek-chat,S+C-,3,false,"The email uses academic authority and flattery to request personal information, but lacks typical phishing red flags like urgent threats, suspicious links, or requests for passwords/financial data. It may be a low-effort scam or spam, but not highly dangerous for a typical consumer."
per-006,claude-sonnet-4-6,S-C+,3,false,"This email appears to be a professional networking or academic outreach message. It references specific research topics (secure protocols, smart city networks, encrypted traffic analysis) which adds some personalization, but the content is benign — no urgent calls to action, no suspicious links, no requests for credentials or personal information, and no attachments mentioned. The vague nature of the 'discussion' invitation is mildly suspicious and could be a spear-phishing precursor or a conference/spam solicitation, but on its own it poses low immediate risk. A typical consumer is unlikely to be harmed by simply reading or even replying to this email. Worth monitoring if follow-up emails contain links or attachments."
per-018,gpt-4.1-mini,S+C-,3,false,"The email appears to be a formal academic request with no overt signs of phishing such as urgent demands, suspicious links, or requests for sensitive information. However, the attachment could pose a risk if malicious, so caution is advised."
per-016,deepseek-chat,S-C+,1,false,"This email appears to be a legitimate professional inquiry about a specific research paper, with no urgency, suspicious links, or manipulative language. It is personalized but in a relevant and non-threatening way."
per-018,gpt-4.1-mini,S-C+,2,false,"The email appears to be a genuine professional inquiry without urgent or manipulative language. It lacks suspicious links or requests for sensitive information, making it low risk for phishing."
per-017,deepseek-chat,S+C-,2,false,"The email appears to be a legitimate academic invitation with specific event details, named speakers, and a professional tone. No urgent requests, suspicious links, or personal data demands are present. The low threat level reflects typical conference outreach, though users should verify the sender's domain if unfamiliar."
per-019,gpt-4.1-mini,S+C-,2,false,"The email is a typical academic conference call for papers with no signs of phishing such as urgent requests, suspicious links, or requests for personal information. It appears legitimate and informational."
per-017,deepseek-chat,S-C+,1,false,"This email appears to be a legitimate professional inquiry referencing specific academic work, with no urgency, suspicious links, or manipulative language."
per-019,gpt-4.1-mini,S-C+,2,false,"The email appears to be a professional inquiry related to research, with no signs of urgency, manipulation, or suspicious links. It is unlikely to be a phishing attempt."
per-005,gemini-2.5-flash,S+C-,7,false,"The email uses a generic greeting ('Dear Esteemed Colleague') and vague flattery ('your expertise would be a valuable addition') without specific personalization, despite claiming to reach out to 'distinguished academics.' It mentions several plausible-sounding but unverified academic organizations and an event. This is a common social engineering tactic in academic-themed phishing or scam attempts, designed to initiate contact and engagement for potential later exploitation (e.g., fake conference fees, predatory publishing schemes, or information gathering). While there are no immediate malicious links or urgent requests, it sets the stage for a follow-up scam, making it a high-risk precursor."
per-018,deepseek-chat,S+C-,2,false,"The email appears to be a legitimate academic request for proposal review, with specific details (conference name, dates, location, coordinator contact) that reduce suspicion. However, the attachment could be a vector for malware, so caution is warranted. Low threat level overall."
per-020,gpt-4.1-mini,S+C-,2,false,"The email appears to be a legitimate academic conference invitation with no signs of phishing such as urgent requests, suspicious links, or personalization targeting sensitive information. However, users should verify the event independently before responding."
per-007,claude-sonnet-4-6,S+C-,3,false,"This email resembles a common 'predatory conference' or academic spam invitation rather than a classic phishing attack. It uses vague, generic language with no personalization, no urgency tactics, no requests for credentials or financial information upfront, and no suspicious links visible in the body. The organizations named (International Research Forum, Center for Advanced Academic Studies, etc.) are generic and unverifiable, and the contact domain 'irforum-acad.org' is not associated with any well-known institution, which is a mild red flag. The risk is primarily reputational or financial (e.g., registration fees, paper submission fees) rather than credential theft or malware. A typical consumer is unlikely to be targeted by this type of email; it's more commonly sent to academics. Threat is low but not zero — the registration link (not shown) could potentially lead to a data-harvesting or payment-fraud page. Flagging as low-level spam/suspicious is appropriate, but outright blocking is not warranted without further link analysis."
per-018,deepseek-chat,S-C+,1,false,"This email appears to be a genuine professional inquiry about the recipient's research, with no urgency, suspicious links, or requests for sensitive information."
per-020,gpt-4.1-mini,S-C+,2,false,"The email appears to be a professional inquiry related to IoT security research without signs of urgency, manipulation, or suspicious links; low risk of phishing."
per-021,gpt-4.1-mini,S+C-,2,false,"The email appears to be a legitimate academic conference invitation with no signs of phishing such as urgent requests, suspicious links, or personalization to manipulate the recipient. The domain looks plausible and no immediate red flags are present."
per-019,deepseek-chat,S+C-,2,false,"This is a generic academic conference announcement with no urgent demands, suspicious links, or personal data requests. While the conference may be low-quality or predatory, it does not exhibit phishing characteristics like impersonation, manipulation, or credential harvesting."
per-021,gpt-4.1-mini,S-C+,2,false,"The email appears to be a genuine professional inquiry without signs of phishing such as urgency, requests for sensitive information, or suspicious links."
per-019,deepseek-chat,S-C+,1,false,"This email is a genuine, professional inquiry about the recipient's published research. It lacks urgency, personal data requests, suspicious links, or manipulative tactics. It appears to be a legitimate academic or professional outreach."
per-007,claude-sonnet-4-6,S-C+,3,false,"This email appears to be a professional networking/research outreach message. It references a specific paper topic (AI and network anomaly detection) which could indicate legitimate academic interest or mild social engineering to establish credibility. There are no urgent calls to action, no suspicious links, no requests for credentials or personal information, and no financial angle. The slight concern is that vague flattery about 'your recent work' without citing specific paper titles or details is a common spear-phishing warm-up tactic used to build rapport before a follow-up attack. However, on its own, this email poses minimal immediate threat and should not be blocked. Users should be cautious if follow-up emails request clicking links, downloading files, or sharing sensitive information."
per-022,gpt-4.1-mini,S+C-,2,false,"The email is a common academic invitation to review a manuscript, with no obvious signs of phishing such as urgent requests for personal information or suspicious links. However, unsolicited invitations can sometimes be used in phishing, so caution is advised."
per-020,deepseek-chat,S+C-,1,false,"This appears to be a legitimate academic conference invitation. It uses formal language, provides specific details about the event, named speakers, and a professional email address. No urgent demands, suspicious links, or personal information requests are present."
per-022,gpt-4.1-mini,S-C+,2,false,"The email appears to be a legitimate professional inquiry without signs of phishing such as urgency, requests for sensitive information, or suspicious links."
per-020,deepseek-chat,S-C+,1,false,"This email appears to be a legitimate professional inquiry about the recipient's published research. It references specific work, uses appropriate academic language, and lacks urgency, personal data requests, or suspicious links."
per-023,gpt-4.1-mini,S+C-,2,false,"The email appears to be a legitimate academic conference invitation with no signs of phishing such as urgent requests, suspicious links, or requests for sensitive information. However, users should verify the event independently before responding."
per-005,gemini-2.5-flash,S-C+,8,true,"This email uses highly specific personalization (referencing a 'recent paper' and 'adaptive methods in network security') to establish rapport. This is a common tactic in spear phishing, aiming to engage a professional target, build trust, and set up a later malicious interaction (e.g., asking to click a malicious link or open an infected attachment). While not immediately containing a malicious link or attachment, it's a sophisticated social engineering attempt designed to appear legitimate to a specific, informed target, making it highly dangerous as an initial contact."
per-021,deepseek-chat,S+C-,2,false,"This appears to be a legitimate academic conference invitation. It includes specific details (dates, venue, speakers, website) and uses professional language without urgency, personalization beyond 'Esteemed Colleague,' or suspicious requests. Low risk."
per-023,gpt-4.1-mini,S-C+,2,false,"The email appears to be a professional inquiry related to a specific topic without signs of urgency, manipulation, or suspicious links. It is unlikely to be a phishing attempt."
