target_id,condition,is_phishing,confidence,reasons
syn-005,temporal_kg,False,1,"The email is a legitimate academic collaboration inquiry. It references specific, verifiable details about the recipient's work (a real presentation at a known conference, co-authors, and a poster session), uses a professional tone, and makes a reasonable request to review a proposal without urgency or suspicious links."
syn-006,baseline,False,1,"The email uses a professional tone, addresses the recipient by name and title, provides a clear purpose (invitation to an academic workshop), and lacks urgent requests, suspicious links, or generic greetings. The request to review an attachment is typical for academic correspondence."
syn-006,static_pii,False,4,"The email uses a professional tone, addresses the recipient by name and title, mentions a specific institution and field, and does not contain urgent requests, suspicious links, or generic greetings. It appears to be a legitimate collaboration inquiry."
syn-006,temporal_kg,False,1,"The email is a legitimate academic collaboration inquiry. It references specific, verifiable details (a real conference presentation, co-authors, and a poster session) and uses a professional tone without urgency, suspicious links, or generic greetings. The request to review a draft proposal is typical in academic networking."
syn-007,baseline,False,1,"The email is a standard academic workshop invitation with a professional tone, no urgent or suspicious requests, no generic greeting (uses recipient's name), and no links or too-good-to-be-true offers. It appears legitimate."
syn-007,static_pii,False,1,"The email is a professional, generic collaboration request with no urgent demands, suspicious links, or requests for sensitive information. It uses a respectful tone and references a specific academic department, which is typical for legitimate research outreach."
syn-007,temporal_kg,False,1,"The email is a legitimate academic collaboration inquiry. It references specific, verifiable details about the recipient's recent conference presentation and poster session, uses a professional tone, and does not contain urgent requests, generic greetings, or suspicious links. The request for feedback on a research proposal is typical in academic settings."
syn-008,baseline,False,1,"The email is a professional invitation to an academic workshop, uses a formal greeting with the recipient's correct title and name, lacks urgency or suspicious requests, and does not contain typical phishing indicators such as generic greetings, threats, or requests for sensitive information."
syn-008,static_pii,False,1,"The email is a professional collaboration request with a specific academic context (UFMG, Computer Science), uses a formal greeting with the recipient's correct title and name, lacks urgency or suspicious requests, and does not contain typical phishing indicators like generic greetings, threats, or requests for sensitive information."
syn-008,temporal_kg,True,4,"The email uses a generic greeting ('Dear Dr. Mendes') despite claiming to have attended a specific presentation and poster session, which is inconsistent with a genuine academic contact. It creates urgency by requesting feedback on a draft proposal via a link, a common phishing tactic. The sender name is omitted, and the combination of specific conference details (USENIX Security '25) with a request to click a link is suspicious, suggesting impersonation of a colleague to gain trust."
syn-009,baseline,False,5,"The email is a professional invitation to an academic workshop, uses a formal greeting with the recipient's title, does not create urgency or request sensitive information, and contains no suspicious links or attachments beyond a standard agenda. The sender appears legitimate and the tone is appropriate for academic correspondence."
syn-009,static_pii,False,1,"The email is a professional collaboration request with a specific research topic, uses a formal greeting with the recipient's correct title, and does not contain urgent language, suspicious links, or requests for sensitive information. The tone and content are consistent with legitimate academic outreach."
syn-009,temporal_kg,False,1,"The email references specific, verifiable details about the recipient's recent academic work (a presentation at USENIX Security Symposium and a poster session), uses a professional tone, and makes a reasonable request for collaboration. No urgent demands, suspicious links, or generic greetings are present."
syn-010,baseline,False,1,"The email is a professional invitation to an academic workshop, uses a proper greeting with the recipient's name, does not contain urgent or suspicious requests, and includes a legitimate attachment reference. No signs of phishing or spam."
syn-010,static_pii,False,1,"The email is a professional, polite request for collaboration with a specific recipient name, no urgent demands, no suspicious links or attachments beyond a standard summary, and no generic greetings or too-good-to-be-true offers. It appears legitimate."
syn-010,temporal_kg,False,1,"The email references specific, verifiable details about the recipient's recent academic work and conference presentations, uses a professional tone, and does not contain urgent requests, generic greetings, or suspicious links. The request to review a proposal is typical of legitimate academic collaboration inquiries."
syn-011,baseline,False,1,"The email is a standard academic workshop invitation with a professional tone, no urgent requests, no suspicious links, and no generic greeting. It addresses the recipient by name and provides a clear, legitimate purpose."
syn-011,static_pii,False,1,"The email is a professional, polite request for collaboration with no urgent demands, suspicious links, or generic greetings. It addresses the recipient by name, mentions a specific institution, and does not contain typical phishing indicators."
syn-011,temporal_kg,False,1,"The email references specific, verifiable details about the recipient's recent academic work (a USENIX Security Symposium presentation and poster), uses a professional tone, and makes a reasonable request for collaboration. No urgent demands, generic greetings, or suspicious links are present."
syn-012,baseline,False,1,"The email is a professional invitation to an academic workshop, uses a formal greeting with the recipient's title, lacks urgency or suspicious requests, and does not contain typical phishing indicators such as generic greetings, threats, or requests for sensitive information."
syn-012,static_pii,False,4,"The email uses a professional tone, addresses the recipient by name, mentions a specific university and field, and does not contain urgent requests, suspicious links, or generic greetings. The request to review an attachment is common in academic collaboration inquiries."
syn-012,temporal_kg,False,5,"The email is personalized, references specific academic work and events, uses a professional tone, and does not contain urgent requests, suspicious links, or generic greetings. It appears to be a legitimate collaboration inquiry from a fellow researcher."
