target_id,content_type,S+_body,S-_body
rev-013,deceptive (C-),"A recent stay at the James Hotel-Chicago, revealed the the recent updating at this hotel was a facelift only. Although the rooms and public areas look nice, the hotel still needs serious work. Our first room was not clean when we arrived and this non-smoking room had a serious odor of cigarette smoke. We asked for a new room which was clean and odor free. We had to involve the Manager before our request was granted. The new room was better at first glance, but was severely lacking. We could not get the temperature properly regulated. The room was always either too hot or too cold for our two night stay. In a hotel commanding the rates of the James, we expect the room temperature to be a comfort which is taken for granted, not something which is a constant battle.","The James Hotel-Chicago's recent update is just a facelift. Our first non-smoking room was dirty and smelled of cigarette smoke. After involving the manager, we got a cleaner, odor-free room, but it still had significant issues."
rev-014,deceptive (C-),"While visiting the Chicago area, we chose the Hotel Monaco Chicago for our stay. As one of the premier luxury hotels in Chicago, we held high expectations but were quickly disappointed in what we recieved. The problems began as soon as we arrived. The attendant was not friendly nor did she have the smile that is suppose to be the symbol of Kimpton. And, when we went to our room only to discover that we had not been given what we had paid for, the situation only got worse. Rather than apologize for the error (my credit card receipt was on hand) we were blamed for the indescrpencies in rooms and told that not only was the room we had reserved and paid for more than two months unavailable,",We stayed at Hotel Monaco Chicago expecting luxury but were disappointed. The unfriendly attendant and being given the wrong room instead of what we paid for worsened our experience.
rev-015,deceptive (C-),"I stayed at the Hilton Chicago during a recent business trip. I elected to go with their Executive Suite upgrade. All I can say is, ""What upgrade?"" It's barely anything above what you get normally. And for the price I paid, I was expecting much better acommodations. Because I arrived around 10:30 the night I checked in (delayed flight) I did not get the concierge service as it stops at 10. I find that an odd hour to stop a service like that especially when you're expecting a guest who has not checked in yet. Beyond that, it took them 20 minutes to get me into my room. First","I stayed at the Hilton Chicago and upgraded to the Executive Suite, but it offered barely any improvement for the price. Arriving late, I missed concierge service, which oddly stops at 10 PM, limiting support for late guests like me."
rev-016,deceptive (C-),"I was disappointed in my stay at The James. I am on a strict gluten free diet and was told the hotel restaurant could accomodate my needs. Each time I sat down for a meal, I would explain my dietary needs to the waiter. Most times, I ended up having to send the plate back because some gluten item was included. My wife has sleep apnea and when we made our reservations, I made sure to ask if there was a room available with an outlet near the bed so that she could plug in her CPAP machine. I was assured that this was no problem. However, when we arrived at the hotel, we had to","Disappointed with The James. Despite assurances, the restaurant repeatedly served gluten-containing meals despite my strict gluten-free diet. Also, I requested a room with an outlet near the bed for my wife's CPAP machine due to her sleep apnea."
rev-017,deceptive (C-),"The James Hotel in Chicago was a huge let down. I was expecting a truly spectacular experience. On the website it appears to be an absolutely fabulous state of the art hotel. Well, my family's bad experience started right when we walked in the door. It turns out the room we had reserved had been given to someone else, and the man at the front desk was extremely rude. We had to wait for an hour for the house keeping service to prepare a new room for us. The room had an odd smell and we had to ask for towels and hand soap as they weren't already","The James Hotel in Chicago was disappointing. Our reserved room was given away, and the front desk staff was rude. We waited an hour for housekeeping to prepare a new room, which had an odd smell."
rev-018,deceptive (C-),My husband and me reserved a room online for the Chicago Hilton. We were looking for a quit few days away from home and work. Unfortunately what we found was not what we were looking for. First of all the room was smaller than what it appears to be online in the photos. The floors looked like they haven't been cleaned in a while in the check in area. The room we stayed in had very thin walls and we could hear the conversation of the other guest on each side. The staff was horrible. We had asked for a turn down service it was never received. I would not at all recommend this hotel,"My husband and I stayed at the Chicago Hilton seeking a quiet getaway, but the room was smaller than online photos suggested, with thin walls that let us hear neighbors' conversations. Additionally, the check-in area floors appeared unclean, and the staff was unhelpful."
rev-019,truthful (C+),"This was my first time in Chicago and wanted a hotel that was in a good location. This definitely fit the bill. I could walk to all the places I wanted to see - very close to Michigan Ave and the Magnificent Mile. About a 15 minute walk to the Art Institute. The hotel staff was very friendly and went out of their way to be helpful. There was coffee in the lobby every morning, that was very welcome. The room was comfortable and clean and fairly quiet. I could hear the train and some traffic from the street (considering the location, this wasn't bad and didn't affect my ability to sleep or relax). I would definitely recommend this hotel - a gem!!","Great location near Michigan Ave and the Magnificent Mile, with a 15-minute walk to the Art Institute. Friendly staff, comfortable and clean rooms, and morning coffee in the lobby made my first Chicago stay enjoyable."
rev-020,deceptive (C-),"I was very disappointed with this hotel. The front desk clerk was rude; she was on a personal call and took 10 mins. to get off the phone. When I arrived in the room the bed wasn't made from the last guest and all the towels were dirty. I called down to the front desk and she made me come back down from the twelveth floor for a new room assignment(on the twelveth floor). Once downstairs the clerk treated me as though I had done something wrong. When I arrived in the new room I found the bathroom less than clean... There was hair all over the floor, toilet and shower. The shower curtain was mildewed and dried toothpaste spit on the mirror. My allergies started to bother me, immediately upon entering the room, so","I was very disappointed with this hotel. The front desk clerk was rude, taking 10 minutes on a personal call before assisting me. My initial room was unclean with an unmade bed and dirty towels, and I was treated poorly when requesting a new room."
rev-021,deceptive (C-),I recently traveled up to Chicago for business and had a terrific 3 day 2 night stay at the Sofitel Chicago Water Tower in downtown. The location was perfect as it gave me easy access to Michigan Avenue and the conference center where I was doing business. My hotel room was rather nice with a very comfortable king size bed and a cozy atmosphere. I ordered room service for dinner and it came within 30 minutes so I was quite pleased with that and they serve from their own restaurant which is located downstairs. The food was extremely good and I really enjoyed not having to go out and fight the traffic to find a good place to eat. I had been really tired from my meeting earlier in the day and had no,"I had a terrific 3-day stay at Sofitel Chicago Water Tower, perfectly located near Michigan Avenue and the conference center. My room featured a comfortable king-size bed, and room service from their own restaurant arrived within 30 minutes, which I appreciated."
rev-022,deceptive (C-),"Last week I stayed at the Hilton Chicago for 4 days and 3 nights and I was very pleased with the experience. As soon as I approached the front desk, I knew right away the staff was friendly and courteous. They had given me a list of local attractions such as the Museum of Science and Industry, the Broadcast Museum, the Ford Center For The Performing Arts and Willis Tower. I stayed in a junior suite which included a king size bed, a 27 inch television, non-allergenic feather pillows and a variety of other amenities. The indoor pool was rather large as well as the gym which includes countless treadmills and even a jogging track. Eating","I stayed 4 days at Hilton Chicago and was very pleased. The friendly staff provided a helpful list of local attractions like the Museum of Science and Industry. My junior suite featured a king-size bed, 27-inch TV, and non-allergenic feather pillows."
rev-023,truthful (C+),"We just arrived from a 3 nights stay at the Sofitel Chicago Water Tower. It was faboulous. Fine Linen, nice room with bigs windows, bathroom with a shower, flat TV. Check for the deals on the Sofitel website, we had 3 nights for the price of two !","We stayed 3 nights at Sofitel Chicago Water Tower and loved it. The room had big windows, fine linen, a shower, and a flat TV. Check their website for deals—we got 3 nights for the price of 2!"
rev-024,deceptive (C-),"I traveled to Chicago with my husband for a romantic weekend away. Our stay at the Sofitel Chicago Water Tower could not have been more luxurious! Our room had anything you could ever want, a mini bar, air conditioning. We were also within walking distance of many sites and fun restaurants. The staff was friendly, and the beds were like clouds. Overall,the experience was worth every penny.","Our stay at Sofitel Chicago Water Tower was luxurious, with a well-equipped room and cloud-like beds. The hotel is within walking distance of many sites and restaurants, and the friendly staff made our romantic weekend truly worth every penny."
rev-025,truthful (C+),"This is a stunning hotel in an excellent location in the greatest of US cities. The entrance and lobby of the hotel indicates its class. The bedrooms are large and comfortable and the customer service is second to none. It is located on South Michigan directly across the road from Grant and Millenium Park. It also has a free shuttle to the Water Tower in the heart of the Magnificent Mile. For Blues fans, Buddy Guy's Legends Club is situated immediately behind the Hotel. Highly recommended.","This stunning hotel on South Michigan offers large, comfortable rooms and exceptional service. Located across from Grant and Millennium Park, it provides a free shuttle to the Magnificent Mile. Buddy Guy's Legends Club is just behind the hotel. Highly recommended."
rev-026,deceptive (C-),"Hotel Monaco is simply amazing. I travel quite a bit, and am use to generic hotels, with horribly unimpressive rooms, and ""5 star amenities"" which usually mean a packet of instant coffee, and room service that won't serve after 9pm. Hotel Monaco on the other hand was very impressive. The suite i stayed in was stylish and cozy. This hotel has such personality. My absolute favorite part of my stay, aside from the amazing meal i had down stairs, was the in-room spa treatment. Hotel Monaco just raised the bar on hotels for me. Generic just won't do anymore.","Hotel Monaco stands out with its stylish, cozy suites and unique personality. Unlike typical generic hotels, it offers impressive amenities, including an in-room spa treatment, which was my favorite part of the stay."
rev-027,truthful (C+),"I can only confirm the positve reviews previously mentioned. We stayed in room 1112, King with River View. No noise and very comfortable.The price was a bargain at $191 a night. I would stay here again. The ""L"" from Midway Airport lets you off about two blocks from the Hotel. It's a $2 ride - no need for a $40 taxi ride.","Stayed in room 1112, King with River View—quiet and comfortable. At $191 a night, it was a bargain. Conveniently located two blocks from the 'L' train from Midway Airport, a $2 ride instead of a costly taxi. Would stay again."
rev-028,truthful (C+),"I only stayed out with my boyfriend for one night, however enjoyed my stay. The staff was friendly, the room was nice and clean, the hallways and ballrooms etc were elegant. Room service was quick and had good options to choose from that actually tasted great. The staff was able to extend our check out time for an extra 1-2 hours without an extra charge to the room. Great location too! Walking distance from the Art Museum, Millennium Park, Grant Park (right across the street) and a quick cab ride to McCormick Place. If I were in the city again I would love to stay there again.","I enjoyed my one-night stay; the friendly staff extended our checkout time for free. The clean room, elegant hallways, and quick, tasty room service were great. The hotel’s location is excellent, within walking distance of the Art Museum and Grant Park."
rev-029,truthful (C+),"We just got back from 3 nights at the Sofitel. We really have nothing bad or negative to say about it. We've stayed at other higher end hotels in Chicago such as the Park Hyatt, The Peninsula, and The Four Seasons - and the Sofitel tops them all. It's a 4 star hotel with 3 star prices. It's a beautiful hotel all the way around. Staff is uniformly friendly without being patronizing. They were helpful with the one small problem we had and solved it quickly. The common areas are fresh and modern in appearance. The room was very clean with comfortable beds and well-appointed marble-accented baths. My wife loved the huge tub. We had breakfast via roomservice every morning and it was",We stayed 3 nights at the Sofitel and found it better than other luxury Chicago hotels like the Park Hyatt and Four Seasons. It's a beautiful 4-star hotel with 3-star prices. The friendly staff quickly resolved a small issue we had.
rev-030,deceptive (C-),"Our stay at the James in late last August exceeded our expectations. My husband was in Chicago for a business trip, and I tagged along to have some time away from our day to day life. When we entered the hotel we were greeted acknowledged the minute we walked through the doors, and the staff member at the front desk was extremely friendly. He met our needs in a timely manner and patiently answered our questions. The lobby was clean and the ambiance was impressive. Our room was also very clean. I could not have found a better room for those two nights of peace and quiet. The bed was comfortable, and the bedding","Our stay at the James in late August exceeded expectations. The friendly front desk staff promptly met our needs and answered questions. The clean lobby and room, along with the impressive ambiance, made our visit enjoyable."
rev-031,truthful (C+),"Stayed here as a treat to myself while in Chicago recently for a concert. I totally LOVED IT here!! When you called either the Front Desk or Room Service, the phone was answered with ""Hallo Mrs (Name)"" which was a great personal touch. Vanessa at the front desk, went out her way to help me - storing some things in a safe for me before I could book into my room. My room was wonderful - the bathroom was luxurious. I was on the 30th floor and the views were superb. We ordered room service and it came quickly and the guy was so friendly and nice. The","I loved my stay here in Chicago! Vanessa at the front desk was exceptionally helpful, storing my belongings before check-in. My 30th-floor room had a luxurious bathroom and superb views. The personalized service, like answering calls with my name, was a great touch."
rev-032,deceptive (C-),"As I walked into the hotel I was greeted warm heartedly. They took my information from me in an efficient manner and got me to my room quickly. I was very pleased to see that my bed was laid out perfectly and that there was plenty of towels in the bathroom. Also, I was happy to see that the shampoo and soap provided was sufficient. Overall, I was very happy with my stay at this hotel.","I was warmly greeted and quickly checked in. My room had a perfectly made bed, plenty of towels, and sufficient shampoo and soap. Overall, I was very happy with my stay at this hotel."
rev-033,truthful (C+),"We had a king deluxe room for 2 nights. We reserved the room through the hotel website with AAA discount. We paid $180/nt. We enjoy boutique hotels, as they have so much more personality and personal service. This hotel was no exception. Every employee we encountered was pleasant and helpful. The room was clean, well decorated, spacious and quiet. We were offered at check-in a room with a view, but warned it was across from the elevator, so we decided to take the quiet, large room with no view. The location of the hotel was perfect for us, we saw Wicked while in Chicago and had no problem walking to the theater. We also walked the Magnificient Mile and found the location perfect (we like to walk). We had drinks at","We stayed two nights in a king deluxe room booked with an AAA discount for $180/nt. The boutique hotel had pleasant, helpful staff. Our spacious, clean, and quiet room was chosen over a view room near the elevator, enhancing our comfort."
rev-034,deceptive (C-),"The James Chicago is a stuffy, uninviting hotel. If you are looking for all of the comforts of home, do not stay here. The rooms are like boardrooms,not bedrooms. Definitely not a child-friendly hotel. The restaurant on site is also very modern and screams pretentious. I would not vacation here again, especially not with children. They were afraid to touch anything in the whole hotel!","The James Chicago is uninviting and not child-friendly, with rooms resembling boardrooms rather than bedrooms. The on-site restaurant feels pretentious. I would not stay here again, especially with children who were afraid to touch anything in the hotel."
rev-035,deceptive (C-),"This will be the only hotel I will never forget in my life. Hotel Monaco Chicago has the best staff and also the rooms are also nice. Whether if it's a King Delux Room or a Tranquility Suite, all of the rooms are luxorious and are themed based, so it suits ones personality. Even if you are a super sized person, like me with a height of 6""4', there are special ""Tall Rooms"" just for you. My days went very fast when I stayed there becuase there was so much to do there. In the mornings I would do yoga from the Yoga Channel. Then I would go downstairs and drink one of their complimentary coffees while reading the morning newspaper. Before I go to a meeting, I would get my shoes shined by their complimentary shoeshine service. After I come back from the meeting, I would go","Hotel Monaco Chicago offers luxurious, themed rooms, including special 'Tall Rooms' for guests over 6'4"". The staff is exceptional, making my stay unforgettable with plenty of activities to enjoy."
rev-036,truthful (C+),"Very pleasant front staff, wine in the evening in the lobby, large rooms, great rates, and free Internet for those that are members of the loyalty program. Overall an excellent value. Close to the El for those coming in from either Midway or O'Hare airports.","Very pleasant front staff, large rooms, great rates, and free Internet for loyalty members. Evening wine in the lobby adds a nice touch. Excellent value and conveniently close to the El for easy access from Midway or O'Hare airports."
rev-037,truthful (C+),"We stay at Hilton for 4 nights last march. It was a pleasant stay. We got a large room with 2 double beds and 2 bathrooms, The TV was Ok, a 27' CRT Flat Screen. The coincierge was very friendly when we need. The room was very cleaned when we arrived, we ordered some pizzas from room service and the pizza was Ok also.The main Hall is beautiful. The breakfast is charged, 20 dollars, kinda expensive. The internet access (WiFi) is charged, 13 dollars/day. Pros: Low rate price, huge rooms, close to attractions at Loop, close to metro station. Cons: Expensive breakfast, Internet access charged. Tip: When leaving the building, always use the Michigan Av exit. Its a great view.","We stayed 4 nights at Hilton last March. The large room had 2 double beds and 2 bathrooms, and the concierge was very friendly. The main hall is beautiful. Breakfast costs $20 and WiFi $13/day, which is a bit expensive."
rev-038,truthful (C+),"Mostly great with a few islands of relatively minor problems. First the good: Outside of the hotel and lobby were decorated like a winter wonderland, as befitted the season. The restaurant service was absolutely flawless ( servers who don't write orders because they are expected to remember them, remember clients clearly from one day to the other, and go above and beyond consistently). Rooms are comfortable: yes the beds are great! The gym is well equipped. Second the slightly off putting: mmmhh...we got the ""I love chocolate package"" which advertized: bfast every day, dinner once, snack once and...a gift. And we have an A-Club favorite guest membership,","The hotel impressed with a winter wonderland decor and flawless restaurant service, where servers memorized orders and clients. Comfortable rooms with great beds and a well-equipped gym added to the experience, despite minor issues."
rev-039,deceptive (C-),"The James Hotel in Chicago looks nice on the website, but looks can be deceiving! The employees are extremely rude and the rooms are disgusting. I would definitely advise against staying there.",The James Hotel in Chicago has rude employees and disgusting rooms. I would definitely advise against staying there.
rev-040,truthful (C+),"My initial thought of the hotel was, this place is just ok, I didnt look up any reviews as I was staying there with 2 other friends. I was truly impressed from ceiling to floor with the room. Views were good, its just the surrounding buildings unless your towards the front where the river is located. I'm crazy about huge bathrooms and this one is HUGE. I love all the space they have. Flat tv, traditional seating and I admired the fabric-based headboards. Those are very nice! Walking distance to restaurants were convenient. I'm a highly frequent traveler to Chicago almost 20 years now and always stay with relatives. In any event, I'd recommend staying at the Monaco again!","The hotel impressed me with its huge bathroom and spacious room featuring fabric-based headboards and a flat TV. Views are good, especially towards the front by the river. Overall, a comfortable stay with thoughtful details."
rev-041,truthful (C+),"went to chicago for a week in may, decided to be good to ourselves and stay in the hilton, we were not disapointed. perhaps it was becuse there were quite a few conventions going on and a lot of people were only staying 1 or 2 nights but we got upgraged to exceutive level. we had 2 double beds with a bathroom each. they beds and pillows were too die for, so so comfy ant the end of a day when we seemed to have walked for miles. all the staff were very helpful. a lot of guests seemed to ignore the staff especially the chamber maids who they seemed","Stayed a week at the Hilton in Chicago and got upgraded to executive level with two double beds and bathrooms. The beds and pillows were incredibly comfortable after long days. Staff were very helpful, making the stay enjoyable despite busy conventions."
rev-042,truthful (C+),"I LOVED this hotel. The room was so chic and trendy, the bed was comfortable, great slippers and robes. I love the Keihl's bath products in the bathroom. We went during my birthday weekend, and they had a card and plate with pastries waiting in the room. We got a great deal on a junior suite from Travelzoo, but when we tried to take another trip to Chicago, the deal was gone. I really recommend the hotel. I LOVED it. The ONLY problem we had was with the David Burke Steakhouse. The service was horrible, they switched our order with the table next to our's and the only compensation was they took off a $7 side dish we ordered (and they were nice enough to NOT charge us for the other side dish we DIDN'T get). DON'T go there. Go to the Lawry's accross the street. But stay at the","I loved this chic hotel with comfortable beds and Keihl's bath products. For my birthday weekend, they surprised me with a card and pastries. We got a great Travelzoo deal on a junior suite. Highly recommend the hotel despite one issue with the steakhouse service."
rev-043,deceptive (C-),"On our first trip to Chicago, my fiance and I stayed 2 nights on our anniversary and were pleasantly surprised by the Hotel and the service we received from the personnel. In the past from other ""luxury hotels"" we have paid much more and received much less. Here the room were very spacious, comfortable and sleek. We spent come time in the hotel bar, LE BAR, and enjoyed a few of their specialty martinis that were second to none! We also enjoyed dinner at the hotel's Cafe des Architectes and received service some of the best service in quite some time. If traveling with a lover we recommend the ""Air of Romance"" package. It was the best! 6 stars!","On our first Chicago trip, we stayed 2 nights for our anniversary and were impressed by the spacious, comfortable rooms and excellent service. The hotel bar, LE BAR, offered specialty martinis that were second to none, making our stay memorable."
rev-044,truthful (C+),"We had a great experience at this hotel. The hotel is Huge! The rooms were very clean, well appointed, and our room was very roomy with a great view of the snow covered park. The Staff was so nice and very helpfull. Donald, at the the Concierge desk scored us tickets to WICKED the day of the performance, and on a Holiday weekend too. They were great seats and a reasonable price. He worked very hard for us to see that show. They truely topped off what was a Fun New Years Celebration. This will be my first pick when I return in the spring.","We had a great experience at this huge hotel with clean, roomy rooms and a great view of the snow-covered park. Donald at the Concierge desk secured us WICKED tickets on a holiday weekend, providing great seats at a reasonable price, making our New Year's celebration special."
rev-045,truthful (C+),"Sometimes you just can't find fault with a hotel, even if you tried. Such was the case with Sofitel, where we'd never stayed before. It's a sleek, modern, sophisticated hotel with European touches. We spent three days there on a leisure weekend, we had a 29th floor king room looking directly at the Hancock Building, at a total cost including taxes and lugs of about $165 a night. The room was average sized, well-appointed, everything in it worked, and it had a fabulous view of the Chicago high-rise jungle, including snippets of the lake. The public areas were wonderfully decorated. The restaurant served a good breakfast at, for Chicago, reasonable prices. The staff was excellent. My wife broke her ankle several weeks before we visited and was on crutches. The staff loaned us a wheelchair and was very","Sofitel impressed with its sleek, modern design and European touches. We stayed three days in a 29th-floor king room with a fabulous view of the Chicago skyline, including the Hancock Building, for about $165 a night. The room was well-appointed and fully functional."
rev-046,truthful (C+),"Stayed here with friends for a long weekend in August and loved the hotel. Enjoyed the free nightly wine happy hour, and the accomodations were quite nice (our beds were very soft and comfortable). We had excellent views of the river from our rooms. The location was wonderful for seeing the sights around town, with easy access to public transportation nearby. My friends actually received the goldfish upon request, which they enjoyed. Some noise could be heard from rooms nearby or above, but it was minimal. Price seemed very resonable to us for the location. Will certainly return to the Windy City and plan","Loved the hotel for a long weekend in August. Enjoyed the free nightly wine happy hour and soft, comfortable beds. Excellent river views and a great location with easy public transport access. Some noise from nearby rooms was noticeable."
rev-047,deceptive (C-),"Do you want to stay in a sleek modern hotel that gives you all of the amenities to conduct your business? Then the James Hotel in Chicago is the place for you. Superb clean lines and sophistication welcomes you on first sight. Followed by spacious rooms, luxurious linens, and all-natural Kiehl's body shampoos and lotions. I absolutely loved my stay at the James Hotel in downtown Chicago. The bathrooms have raised sinks, and all of the luxurious amenities you would want. I absolutely loved the natural wood feel mingled with a modern touch. I felt at home in a very clean and modern atmosphere. I definitely would stay again, and plan to stay at the James in New York as well","The James Hotel in Chicago offers sleek modern design, spacious rooms, and luxurious linens. Bathrooms feature raised sinks and all-natural Kiehl's body shampoos and lotions. It's an ideal choice for business travelers seeking sophistication and comfort."
rev-048,truthful (C+),"After reading so many great reviews I booked the Hotel Monaco and was not disappointed. I booked through their web site about 2 1/2 months prior to arrival for $170/night plus tax for a room with 2 queens. The location was perfect - right by the river near Michigan Ave. - minutes walk to the El, Millenium Park, the Theater District and Shopping. The room was clean, a little larger than standard and nicely decorated. We had window seats in the room with a view of the river. There was Starbucks coffee in the lobby in the morning and a wine reception in the evening. To top it off, the staff was very friendly and knowledgable about the area.","Hotel Monaco exceeded expectations with a perfect location by the river near Michigan Ave, just minutes from major attractions. The clean, spacious room featured two queen beds and a river view with window seats. Booked early for $170/night plus tax through their website."
rev-049,deceptive (C-),"We decided to stay at The James last weekend with our kids. We reserved the ""Family Adventurer with Paul Frank"". It's a special offer by the hotel to entice visitors to see the local museums and aquarium. We ended up receiving 2 Chicago City Passes, which ultimately paid for themselves and 4 tickets for the Chicago Children's Museum. My kids had a ball. We ended the day with a milk and cookies turn down service and a special pair of pajamas that my daughter adored. All in all, a great weekend where my kids were the focus. The adults certainly weren't forgotten since we had a great breakfast in the room the next morning.","We stayed at The James with our kids and booked the 'Family Adventurer with Paul Frank' package, which included 2 Chicago City Passes and 4 tickets to the Children's Museum. The kids loved the milk and cookies turndown service and special pajamas. Great weekend!"
