target_id,ratio,model,winner,long_wc,short_wc
per-015,2.0,claude-sonnet-4-6,B,116,56
per-015,2.5,gpt-4.1-mini,B,146,56
per-015,2.5,deepseek-chat,B,146,56
per-015,2.5,claude-sonnet-4-6,B,146,56
per-015,3.0,gpt-4.1-mini,A,170,56
per-015,3.0,deepseek-chat,A,170,56
per-015,3.0,claude-sonnet-4-6,B,170,56
per-016,1.0,gpt-4.1-mini,B,53,55
per-016,1.0,deepseek-chat,B,53,55
per-016,1.0,claude-sonnet-4-6,B,53,55
per-016,1.25,gpt-4.1-mini,B,64,55
per-016,1.25,deepseek-chat,B,64,55
per-016,1.25,claude-sonnet-4-6,B,64,55
per-016,1.5,gpt-4.1-mini,B,89,55
per-016,1.5,deepseek-chat,B,89,55
per-016,1.5,claude-sonnet-4-6,B,89,55
per-016,2.0,gpt-4.1-mini,B,108,55
per-016,2.0,deepseek-chat,B,108,55
per-016,2.0,claude-sonnet-4-6,B,108,55
per-016,2.5,gpt-4.1-mini,B,136,55
per-016,2.5,deepseek-chat,B,136,55
per-016,2.5,claude-sonnet-4-6,B,136,55
per-016,3.0,gpt-4.1-mini,A,160,55
per-016,3.0,deepseek-chat,B,160,55
per-016,3.0,claude-sonnet-4-6,B,160,55
per-018,1.0,gpt-4.1-mini,B,49,53
per-018,1.0,deepseek-chat,B,49,53
per-018,1.0,claude-sonnet-4-6,B,49,53
per-018,1.25,gpt-4.1-mini,B,69,53
per-018,1.25,deepseek-chat,B,69,53
per-018,1.25,claude-sonnet-4-6,B,69,53
per-018,1.5,gpt-4.1-mini,B,86,53
per-018,1.5,deepseek-chat,B,86,53
per-018,1.5,claude-sonnet-4-6,B,86,53
per-018,2.0,gpt-4.1-mini,A,106,53
per-018,2.0,deepseek-chat,A,106,53
per-018,2.0,claude-sonnet-4-6,B,106,53
per-018,2.5,gpt-4.1-mini,B,132,53
per-018,2.5,deepseek-chat,A,132,53
per-018,2.5,claude-sonnet-4-6,B,132,53
per-018,3.0,gpt-4.1-mini,B,162,53
per-018,3.0,deepseek-chat,B,162,53
per-018,3.0,claude-sonnet-4-6,B,162,53
per-028,1.0,gpt-4.1-mini,B,48,52
per-028,1.0,deepseek-chat,B,48,52
per-028,1.0,claude-sonnet-4-6,B,48,52
per-028,1.25,gpt-4.1-mini,B,63,52
per-028,1.25,deepseek-chat,B,63,52
per-028,1.25,claude-sonnet-4-6,B,63,52
per-028,1.5,gpt-4.1-mini,B,84,52
per-028,1.5,deepseek-chat,B,84,52
per-028,1.5,claude-sonnet-4-6,B,84,52
per-028,2.0,gpt-4.1-mini,B,113,52
per-028,2.0,deepseek-chat,B,113,52
per-028,2.0,claude-sonnet-4-6,B,113,52
per-028,2.5,gpt-4.1-mini,B,140,52
per-028,2.5,deepseek-chat,B,140,52
per-028,2.5,claude-sonnet-4-6,B,140,52
per-028,3.0,gpt-4.1-mini,B,158,52
per-028,3.0,deepseek-chat,B,158,52
per-028,3.0,claude-sonnet-4-6,B,158,52
per-035,1.0,gpt-4.1-mini,B,47,52
per-035,1.0,deepseek-chat,B,47,52
per-035,1.0,claude-sonnet-4-6,B,47,52
per-035,1.25,gpt-4.1-mini,B,64,52
per-035,1.25,deepseek-chat,B,64,52
per-035,1.25,claude-sonnet-4-6,B,64,52
per-035,1.5,gpt-4.1-mini,B,71,52
per-035,1.5,deepseek-chat,B,71,52
per-035,1.5,claude-sonnet-4-6,B,71,52
per-035,2.0,gpt-4.1-mini,B,109,52
per-035,2.0,deepseek-chat,B,109,52
per-035,2.0,claude-sonnet-4-6,B,109,52
per-035,2.5,gpt-4.1-mini,B,137,52
per-035,2.5,deepseek-chat,B,137,52
per-035,2.5,claude-sonnet-4-6,B,137,52
per-035,3.0,gpt-4.1-mini,A,160,52
per-035,3.0,deepseek-chat,B,160,52
per-035,3.0,claude-sonnet-4-6,B,160,52
per-038,1.0,gpt-4.1-mini,B,52,55
per-038,1.0,deepseek-chat,B,52,55
per-038,1.0,claude-sonnet-4-6,B,52,55
per-038,1.25,gpt-4.1-mini,B,62,55
per-038,1.25,deepseek-chat,B,62,55
per-038,1.25,claude-sonnet-4-6,B,62,55
per-038,1.5,gpt-4.1-mini,B,87,55
per-038,1.5,deepseek-chat,B,87,55
per-038,1.5,claude-sonnet-4-6,B,87,55
per-038,2.0,gpt-4.1-mini,B,113,55
per-038,2.0,deepseek-chat,B,113,55
per-038,2.0,claude-sonnet-4-6,B,113,55
per-038,2.5,gpt-4.1-mini,B,140,55
per-038,2.5,deepseek-chat,B,140,55
per-038,2.5,claude-sonnet-4-6,B,140,55
per-038,3.0,gpt-4.1-mini,B,161,55
per-038,3.0,deepseek-chat,B,161,55
per-038,3.0,claude-sonnet-4-6,B,161,55
per-041,1.0,gpt-4.1-mini,B,52,56
per-041,1.0,deepseek-chat,B,52,56
per-041,1.0,claude-sonnet-4-6,B,52,56
per-041,1.25,gpt-4.1-mini,B,72,56
per-041,1.25,deepseek-chat,B,72,56
per-041,1.25,claude-sonnet-4-6,B,72,56
per-041,1.5,gpt-4.1-mini,B,91,56
per-041,1.5,deepseek-chat,B,91,56
per-041,1.5,claude-sonnet-4-6,B,91,56
per-041,2.0,gpt-4.1-mini,B,110,56
per-041,2.0,deepseek-chat,B,110,56
per-041,2.0,claude-sonnet-4-6,B,110,56
per-041,2.5,gpt-4.1-mini,B,152,56
per-041,2.5,deepseek-chat,B,152,56
per-041,2.5,claude-sonnet-4-6,B,152,56
per-041,3.0,gpt-4.1-mini,A,166,56
per-041,3.0,deepseek-chat,A,166,56
per-041,3.0,claude-sonnet-4-6,B,166,56
per-048,1.0,gpt-4.1-mini,B,50,55
per-048,1.0,deepseek-chat,B,50,55
per-048,1.0,claude-sonnet-4-6,B,50,55
per-048,1.25,gpt-4.1-mini,B,63,55
per-048,1.25,deepseek-chat,B,63,55
per-048,1.25,claude-sonnet-4-6,B,63,55
per-048,1.5,gpt-4.1-mini,B,86,55
per-048,1.5,deepseek-chat,B,86,55
per-048,1.5,claude-sonnet-4-6,B,86,55
per-048,2.0,gpt-4.1-mini,B,116,55
per-048,2.0,deepseek-chat,B,116,55
per-048,2.0,claude-sonnet-4-6,B,116,55
per-048,2.5,gpt-4.1-mini,B,147,55
per-048,2.5,deepseek-chat,B,147,55
per-048,2.5,claude-sonnet-4-6,B,147,55
per-048,3.0,gpt-4.1-mini,B,171,55
per-048,3.0,deepseek-chat,B,171,55
per-048,3.0,claude-sonnet-4-6,B,171,55
per-050,1.0,gpt-4.1-mini,B,45,50
per-050,1.0,deepseek-chat,B,45,50
per-050,1.0,claude-sonnet-4-6,B,45,50
per-050,1.25,gpt-4.1-mini,B,65,50
per-050,1.25,deepseek-chat,B,65,50
per-050,1.25,claude-sonnet-4-6,B,65,50
per-050,1.5,gpt-4.1-mini,B,71,50
per-050,1.5,deepseek-chat,B,71,50
per-050,1.5,claude-sonnet-4-6,B,71,50
per-050,2.0,gpt-4.1-mini,B,104,50
per-050,2.0,deepseek-chat,B,104,50
per-050,2.0,claude-sonnet-4-6,B,104,50
per-050,2.5,gpt-4.1-mini,A,125,50
per-050,2.5,deepseek-chat,B,125,50
per-050,2.5,claude-sonnet-4-6,B,125,50
per-050,3.0,gpt-4.1-mini,B,151,50
per-050,3.0,deepseek-chat,B,151,50
per-050,3.0,claude-sonnet-4-6,B,151,50
per-002,1.0,gpt-4.1,B,54,57
per-002,1.25,gpt-4.1,B,64,57
per-002,1.5,gpt-4.1,B,89,57
per-002,2.0,gpt-4.1,B,115,57
per-002,2.5,gpt-4.1,A,130,57
per-002,3.0,gpt-4.1,A,175,57
per-003,1.0,gpt-4.1,B,49,52
per-003,1.25,gpt-4.1,B,65,52
per-003,1.5,gpt-4.1,B,71,52
per-003,2.0,gpt-4.1,B,111,52
per-003,2.5,gpt-4.1,A,126,52
per-003,3.0,gpt-4.1,A,150,52
per-006,1.0,gpt-4.1,B,56,60
per-006,1.25,gpt-4.1,B,82,60
per-006,1.5,gpt-4.1,B,92,60
per-006,2.0,gpt-4.1,B,126,60
per-006,2.5,gpt-4.1,A,159,60
per-006,3.0,gpt-4.1,A,179,60
per-007,1.0,gpt-4.1,B,51,56
per-007,1.25,gpt-4.1,B,66,56
per-007,1.5,gpt-4.1,B,87,56
per-007,2.0,gpt-4.1,B,121,56
per-007,2.5,gpt-4.1,A,143,56
per-007,3.0,gpt-4.1,A,173,56
per-008,1.0,gpt-4.1,B,50,55
per-008,1.25,gpt-4.1,B,72,55
per-008,1.5,gpt-4.1,B,84,55
per-008,2.0,gpt-4.1,B,110,55
per-008,2.5,gpt-4.1,A,148,55
per-008,3.0,gpt-4.1,A,170,55
per-009,1.0,gpt-4.1,B,59,64
per-009,1.25,gpt-4.1,B,85,64
per-009,1.5,gpt-4.1,B,94,64
per-009,2.0,gpt-4.1,B,126,64
per-009,2.5,gpt-4.1,B,175,64
per-009,3.0,gpt-4.1,A,210,64
per-015,1.0,gpt-4.1,B,51,56
per-015,1.25,gpt-4.1,B,63,56
per-015,1.5,gpt-4.1,A,87,56
per-015,2.0,gpt-4.1,A,116,56
per-015,2.5,gpt-4.1,A,146,56
per-015,3.0,gpt-4.1,A,170,56
per-016,1.0,gpt-4.1,B,53,55
per-016,1.25,gpt-4.1,B,64,55
per-016,1.5,gpt-4.1,B,89,55
per-016,2.0,gpt-4.1,B,108,55
per-016,2.5,gpt-4.1,B,136,55
per-016,3.0,gpt-4.1,A,160,55
per-018,1.0,gpt-4.1,B,49,53
per-018,1.25,gpt-4.1,B,69,53
per-018,1.5,gpt-4.1,B,86,53
per-018,2.0,gpt-4.1,B,106,53
per-018,2.5,gpt-4.1,B,132,53
per-018,3.0,gpt-4.1,B,162,53
per-028,1.0,gpt-4.1,B,48,52
per-028,1.25,gpt-4.1,B,63,52
per-028,1.5,gpt-4.1,B,84,52
per-028,2.0,gpt-4.1,B,113,52
per-028,2.5,gpt-4.1,A,140,52
per-028,3.0,gpt-4.1,A,158,52
per-035,1.0,gpt-4.1,B,47,52
per-035,1.25,gpt-4.1,B,64,52
per-035,1.5,gpt-4.1,B,71,52
per-035,2.0,gpt-4.1,B,109,52
per-035,2.5,gpt-4.1,A,137,52
per-035,3.0,gpt-4.1,A,160,52
per-038,1.0,gpt-4.1,B,52,55
per-038,1.25,gpt-4.1,B,62,55
per-038,1.5,gpt-4.1,B,87,55
per-038,2.0,gpt-4.1,B,113,55
per-038,2.5,gpt-4.1,A,140,55
per-038,3.0,gpt-4.1,B,161,55
per-041,1.0,gpt-4.1,B,52,56
per-041,1.25,gpt-4.1,B,72,56
per-041,1.5,gpt-4.1,B,91,56
per-041,2.0,gpt-4.1,B,110,56
per-041,2.5,gpt-4.1,A,152,56
per-041,3.0,gpt-4.1,A,166,56
per-048,1.0,gpt-4.1,B,50,55
per-048,1.25,gpt-4.1,B,63,55
per-048,1.5,gpt-4.1,B,86,55
per-048,2.0,gpt-4.1,B,116,55
per-048,2.5,gpt-4.1,B,147,55
per-048,3.0,gpt-4.1,B,171,55
per-050,1.0,gpt-4.1,B,45,50
per-050,1.25,gpt-4.1,B,65,50
per-050,1.5,gpt-4.1,B,71,50
per-050,2.0,gpt-4.1,B,104,50
per-050,2.5,gpt-4.1,A,125,50
per-050,3.0,gpt-4.1,A,151,50
per-009,1.5,gemini-2.5-flash,B,94,64
