model,repeat,swapped,winner,confidence,reasoning,experiment,tid,condition,tkg_len,imp_len
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work, establishes a personal connection, and clearly states the sender's interest in collaboration or guidance,",hookcat,per-002,temporal,119,119
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it demonstrates genuine interest and engagement with the recipient's specific work, making the request for guidance feel personalized and respectful, whereas Email 2",hookcat,per-002,temporal,119,119
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing paper titles, co-authors, and a specific conference), which builds credibility and f",hookcat,per-002,temporal,119,119
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work and achievements, and clearly proposes a mutually beneficial collaboration, whereas Email 2 is a g",hookcat,per-002,static,124,124
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and proposes a direct collaborative opportunity, which fosters engagement and reciprocity.",hookcat,per-002,static,124,124
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it is personally tailored to the recipient with specific details about their work, creating a sense of genuine interest and rapport that motivates engagement, wherea",hookcat,per-002,static,124,124
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's achievements, and proposes a clear, mutually beneficial collaboration, whereas Email 1 is a general call for papers ",hookcat,per-002,static,124,124
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and work, and proposes a direct collaborative opportunity, which is more likely to engage the ",hookcat,per-002,static,124,124
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific details about the recipient's work (their seminar, grant, and institution), demonstrating genuine interest and establishing common g",hookcat,per-002,static,124,124
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and proposes a specific collaborative opportunity, whereas Email 2 is a general call for papers w",hookcat,per-002,static,124,124
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and proposes a direct collaborative opportunity, which is more likely to engage the recipient",hookcat,per-002,static,124,124
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized details (specific grant, seminar) to establish rapport and makes a direct, targeted request for collaboration, whereas Email 2 is a generic mass",hookcat,per-002,static,124,124
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific collaborative intent, making it more engaging and compelling",hookcat,per-003,temporal,167,167
deepseek-chat,1,False,A,4,"Email 1 is personalized, references the recipient's specific work and achievements, and directly seeks collaboration, which is more likely to engage and persuade the recipient than a generic call for ",hookcat,per-003,temporal,167,167
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it is personalized with specific references to the recipient's work, conferences, and collaborators, making it feel targeted and genuine rather than a generic mass c",hookcat,per-003,temporal,167,167
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and directly proposes collaboration, making it more engaging and likely to elicit a positive ",hookcat,per-003,temporal,167,167
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and proposes a direct collaborative opportunity, which is more likely to engage the re",hookcat,per-003,temporal,167,167
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates genuine familiarity with the recipient's specific work, collaborators, and conference presentations, creating a personalized connection that makes th",hookcat,per-003,temporal,167,167
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific request for collaboration, making it more engaging and compe",hookcat,per-003,temporal,167,167
deepseek-chat,3,False,A,4,"Email 1 is personalized, references the recipient's specific work, and directly seeks collaboration, making it more likely to engage the recipient than the generic call for submissions in Email 2.",hookcat,per-003,temporal,167,167
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it is personalized with specific references to the recipient's work, conferences, and collaborators, making it feel targeted and genuine rather than a generic mass c",hookcat,per-003,temporal,167,167
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and directly requests a meeting for collaboration, whereas Email 2 is a general call for papers w",hookcat,per-003,static,132,132
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, directly addresses the recipient's work and achievements, and proposes a specific collaborative opportunity, whereas Email 2 is a generic call fo",hookcat,per-003,static,132,132
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it is personally tailored to the recipient with specific details about their work and institution, creating a genuine connection and clear call to action, whereas Em",hookcat,per-003,static,132,132
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly proposes a specific action for collaboration, making it more engaging and compelling ",hookcat,per-003,static,132,132
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and work, and proposes a direct, actionable collaboration opportunity, which is more likely to",hookcat,per-003,static,132,132
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific details about the recipient's institution, mentorship, and grant, demonstrating genuine research interest and creating a personal co",hookcat,per-003,static,132,132
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a desire for collaboration, whereas Email 2 is a general call for ",hookcat,per-003,static,132,132
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, directly addresses the recipient's specific work and achievements, and proposes a concrete collaborative opportunity, whereas Email 2 is a generi",hookcat,per-003,static,132,132
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it is personally tailored to a specific recipient with concrete details about their work, creating a sense of genuine interest and flattery that motivates engagement",hookcat,per-003,static,132,132
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly proposes a mutually beneficial collaboration, whereas Email 2 is a general announ",hookcat,per-004,temporal,128,128
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly proposes a collaborative discussion, whereas Email 2 is a generic call fo",hookcat,per-004,temporal,128,128
claude-sonnet-4-6,1,False,A,5,"Email 1 is more persuasive because it is personalized with specific references to Dr. Petrova's work, co-author, and keynote appearance, making the recipient feel genuinely recognized, whereas Email 2",hookcat,per-004,temporal,128,128
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and proposes a clear, mutually beneficial collaboration, whereas Email 1 is a general ",hookcat,per-004,temporal,128,128
deepseek-chat,2,True,A,5,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and proposes a direct, mutually beneficial collaboration, whereas Email 1 is a generic",hookcat,per-004,temporal,128,128
claude-sonnet-4-6,2,True,A,5,"Email 2 is more persuasive because it is personalized with specific references to the recipient's work, co-author, and conference appearance, demonstrating genuine familiarity and creating a sense of ",hookcat,per-004,temporal,128,128
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and proposes a clear, mutually beneficial collaboration, whereas Email 2 is a generic call fo",hookcat,per-004,temporal,128,128
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly proposes a collaborative opportunity, which is more likely to engage the ",hookcat,per-004,temporal,128,128
claude-sonnet-4-6,3,False,A,5,"Email 1 is a personalized, targeted message that references specific work by the recipient, demonstrates genuine familiarity with their research, and makes a clear, direct ask, making it far more comp",hookcat,per-004,temporal,128,128
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges specific achievements, and proposes a clear, mutually beneficial collaboration, whereas Email 2 is a general invitation lacking pers",hookcat,per-004,static,150,150
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it specifically acknowledges the recipient's achievements and directly aligns the sender's interests with the recipient's work, creating a personalized and mutually ",hookcat,per-004,static,150,150
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, institution, grants, and career history, making the request feel genuinely tailored and cre",hookcat,per-004,static,150,150
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and proposes a clear, mutually beneficial collaboration, making it more engaging and compelli",hookcat,per-004,static,150,150
deepseek-chat,2,True,A,5,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and context, and proposes a clear, mutually beneficial collaborative opportunity, whereas Emai",hookcat,per-004,static,150,150
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it is personalized with specific details about the recipient's institution, recent grant success, and research focus, demonstrating genuine familiarity and makin",hookcat,per-004,static,150,150
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work and achievements, and proposes a clear, mutually beneficial collaboration, whereas Email 2 is a ge",hookcat,per-004,static,150,150
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it personalizes the request by referencing the recipient's specific achievements and research, demonstrating genuine interest and creating a stronger foundation for ",hookcat,per-004,static,150,150
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, institution, career history, and recent grant success, making the collaboration request fee",hookcat,per-004,static,150,150
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a direct interest in collaboration, making it more engaging and co",hookcat,per-005,temporal,139,139
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, referencing specific work and a keynote by the recipient, which demonstrates genuine interest and builds a stronger connection, whereas Email 2 i",hookcat,per-005,temporal,139,139
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work and establishes genuine common ground, making the request for collaboration feel targeted an",hookcat,per-005,temporal,139,139
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific work and achievements, demonstrating genuine interest and a clear proposal for collaboration, whi",hookcat,per-005,temporal,139,139
deepseek-chat,2,True,A,5,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly appeals to their expertise and interests, making it more likely to engage",hookcat,per-005,temporal,139,139
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it is personalized with specific references to the recipient's published work, collaborations, and conference keynote, demonstrating genuine familiarity and crea",hookcat,per-005,temporal,139,139
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and directly proposes a collaborative opportunity, making it more engaging and relevant ",hookcat,per-005,temporal,139,139
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, references specific work and events relevant to the recipient, and directly proposes a collaborative discussion, making it more likely to engage ",hookcat,per-005,temporal,139,139
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it is personally tailored to the recipient with specific references to their published work, collaborations, and conference keynote, creating a genuine connection th",hookcat,per-005,temporal,139,139
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work and achievements, and clearly expresses a mutual research interest, making a direct and c",hookcat,per-005,static,154,154
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and expertise, and directly appeals to their research interests, making the recipient feel val",hookcat,per-005,static,154,154
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it uses personalized details (specific institution, grant, research focus) that demonstrate genuine interest and research into the recipient, making the appeal feel ",hookcat,per-005,static,154,154
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and clearly expresses a mutual benefit through potential collaboration, making it more engagi",hookcat,per-005,static,154,154
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized to the recipient, acknowledges their specific achievements and work, and directly appeals to their expertise and interests, making the request fee",hookcat,per-005,static,154,154
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific details about the recipient's work, acknowledges their achievements, and establishes a clear, flattering connection between the send",hookcat,per-005,static,154,154
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work and achievements, and clearly expresses a mutual research interest, making a direct and r",hookcat,per-005,static,154,154
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it offers a clear, actionable opportunity for the recipient to contribute as a mentor, appealing to their expertise and desire to shape future research, whereas Emai",hookcat,per-005,static,154,154
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates personalized research into the recipient's specific work, achievements, and grants, making the appeal feel targeted and genuine rather than the gener",hookcat,per-005,static,154,154
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work, establishes a personal connection, and clearly expresses a desire for collaboration, whereas Email 2 is m",hookcat,per-006,temporal,162,162
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it demonstrates genuine engagement with the recipient's specific work, showing personalized interest and respect, which fosters a stronger connection and increases t",hookcat,per-006,temporal,162,162
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a particular paper, co-authors, and a conference presentation), which builds credibi",hookcat,per-006,temporal,162,162
gpt-4.1-mini,2,True,A,5,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, establishes a clear connection to the sender's interests, and directly requests a conversation, making it",hookcat,per-006,temporal,162,162
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references specific research and achievements of the recipient, and directly appeals to their expertise, making the request feel tailored and res",hookcat,per-006,temporal,162,162
claude-sonnet-4-6,2,True,A,5,"Email 2 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a particular paper, co-authors, a conference presentation, and a collaboration), whi",hookcat,per-006,temporal,162,162
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and directly requests a specific engagement, making it more likely to elicit a positive respo",hookcat,per-006,temporal,162,162
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it demonstrates genuine interest in the recipient's specific work, referencing their paper, presentation, and collaborations, which makes the request for a conversat",hookcat,per-006,temporal,162,162
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a particular paper, co-authors, a symposium, and a collaboration), which builds cred",hookcat,per-006,temporal,162,162
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's achievements, and proposes a specific collaborative opportunity, whereas Email 2 is a general call for submissions w",hookcat,per-006,static,125,125
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and interests, and directly proposes a collaborative opportunity, whereas Email 2 is a generic",hookcat,per-006,static,125,125
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it is personalized with specific details about Dr. Lim's grant, institution, and research focus, making it more compelling and relevant to the recipient compared to ",hookcat,per-006,static,125,125
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's achievements, and directly proposes a collaborative opportunity, making it more engaging and compelling.",hookcat,per-006,static,125,125
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and interests, and directly proposes a collaborative opportunity, which creates a stronger con",hookcat,per-006,static,125,125
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it is personalized with specific details about the recipient's work, grants, and mentorship, demonstrating genuine research and interest, whereas Email 1 is a ge",hookcat,per-006,static,125,125
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's achievements, and proposes a specific collaborative opportunity, whereas Email 2 is a general call for submissions w",hookcat,per-006,static,125,125
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and interests, and directly proposes a collaborative opportunity, whereas Email 2 is a generic",hookcat,per-006,static,125,125
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it is personalized with specific details about the recipient's work and grant, creating a targeted appeal that feels genuine and relevant, whereas Email 2 is a gener",hookcat,per-006,static,125,125
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates detailed knowledge of the recipient's work, and clearly proposes a specific collaborative opportunity, whereas Email 2 is a general ",hookcat,per-007,temporal,166,166
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly proposes a collaborative opportunity, whereas Email 2 is a generic call f",hookcat,per-007,temporal,166,166
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work and directly proposes a mutually beneficial collaboration, making the recipient feel valued ",hookcat,per-007,temporal,166,166
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and clearly proposes collaboration, making it more engaging and relevant to the recipi",hookcat,per-007,temporal,166,166
deepseek-chat,2,True,A,5,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly proposes a collaborative opportunity, making it more engaging and relevan",hookcat,per-007,temporal,166,166
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it is personalized with specific references to the recipient's published work, collaborators, and recent presentations, demonstrating genuine familiarity and cre",hookcat,per-007,temporal,166,166
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly proposes a specific collaborative opportunity, whereas Email 2 is a general call ",hookcat,per-007,temporal,166,166
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, directly references the recipient's specific work and achievements, and proposes a concrete collaborative opportunity, whereas Email 2 is a gener",hookcat,per-007,temporal,166,166
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work and establishes a clear, mutual research interest, making the collaboration request feel gen",hookcat,per-007,temporal,166,166
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a genuine interest in collaboration, whereas Email 2 is a general ",hookcat,per-007,static,143,143
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, directly addresses the recipient's specific achievements and expertise, and makes a clear, respectful request for collaboration, whereas Email 2 ",hookcat,per-007,static,143,143
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it is personally tailored to the recipient with specific details about their work, grants, and expertise, creating a sense of genuine interest and flattery that moti",hookcat,per-007,static,143,143
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a desire for collaboration, making it more engaging and compelling",hookcat,per-007,static,143,143
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly appeals to their expertise, making it more likely to engage the recipient",hookcat,per-007,static,143,143
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, institution, and recent grant, creating a tailored appeal that feels genuine rather than a g",hookcat,per-007,static,143,143
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a genuine interest in collaboration, whereas Email 2 is a general ",hookcat,per-007,static,143,143
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and expertise, and directly appeals to collaboration, whereas Email 2 is a generic call for su",hookcat,per-007,static,143,143
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it is personally tailored to the recipient with specific details about their work, grants, and expertise, creating a sense of genuine interest and flattery that moti",hookcat,per-007,static,143,143
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and proposes a clear, mutually beneficial collaboration, whereas Email 2 is a general ca",hookcat,per-008,temporal,175,175
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, referencing the recipient's specific work and achievements, which builds rapport and demonstrates genuine interest, whereas Email 2 is a generic ",hookcat,per-008,temporal,175,175
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work and collaborations, creating a sense of genuine interest and rapport that makes the call to ",hookcat,per-008,temporal,175,175
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and explicitly proposes collaboration, making it more engaging and compelling than the genera",hookcat,per-008,temporal,175,175
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and proposes a direct collaborative opportunity, which is more likely to engage the re",hookcat,per-008,temporal,175,175
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it is personalized with specific references to the recipient's work, co-authors, and recent activities, demonstrating genuine familiarity and interest, whereas E",hookcat,per-008,temporal,175,175
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and directly proposes a collaborative opportunity, making it more engaging and relevant ",hookcat,per-008,temporal,175,175
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and directly invites collaboration, whereas Email 2 is a generic call for papers that la",hookcat,per-008,temporal,175,175
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, collaborators, and conference activities, creating a sense of genuine interest and rapport t",hookcat,per-008,temporal,175,175
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly expresses a specific collaborative intent, whereas Email 2 is a general call for pape",hookcat,per-008,static,132,132
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and expertise, and directly seeks collaboration, which is more likely to engage the recipient ",hookcat,per-008,static,132,132
claude-sonnet-4-6,1,False,A,3,"Email 1 is more persuasive because it is personally tailored to the recipient with specific details about their work and achievements, creating a sense of genuine interest and flattery that motivates ",hookcat,per-008,static,132,132
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's achievements, and directly proposes collaboration, making it more engaging and likely to elicit a positive response.",hookcat,per-008,static,132,132
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and work, and directly appeals to their expertise and interests, making it more likely to enga",hookcat,per-008,static,132,132
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific details about the recipient's work, institution, and achievements, making it feel genuine and targeted rather than a generic mass co",hookcat,per-008,static,132,132
