target_id,level_a,level_b,model,repeat,winner,confidence,subject_a,subject_b
per-002,1,3,deepseek-chat,1,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Next-Gen IoT Security Workshop
per-002,1,3,deepseek-chat,2,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Next-Gen IoT Security Workshop
per-002,1,3,deepseek-chat,3,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Next-Gen IoT Security Workshop
per-002,1,3,claude-sonnet-4-6,1,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Next-Gen IoT Security Workshop
per-002,1,3,claude-sonnet-4-6,2,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Next-Gen IoT Security Workshop
per-002,1,3,claude-sonnet-4-6,3,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Next-Gen IoT Security Workshop
per-002,3,5,gpt-4.1-mini,1,B,0,Invitation to Collaborate on Next-Gen IoT Security Workshop,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,3,5,gpt-4.1-mini,2,B,0,Invitation to Collaborate on Next-Gen IoT Security Workshop,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,3,5,gpt-4.1-mini,3,B,0,Invitation to Collaborate on Next-Gen IoT Security Workshop,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,3,5,deepseek-chat,1,B,0,Invitation to Collaborate on Next-Gen IoT Security Workshop,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,3,5,deepseek-chat,2,B,0,Invitation to Collaborate on Next-Gen IoT Security Workshop,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,3,5,deepseek-chat,3,B,0,Invitation to Collaborate on Next-Gen IoT Security Workshop,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,3,5,claude-sonnet-4-6,1,B,0,Invitation to Collaborate on Next-Gen IoT Security Workshop,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,3,5,claude-sonnet-4-6,2,B,0,Invitation to Collaborate on Next-Gen IoT Security Workshop,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,3,5,claude-sonnet-4-6,3,B,0,Invitation to Collaborate on Next-Gen IoT Security Workshop,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,1,5,gpt-4.1-mini,1,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,1,5,gpt-4.1-mini,2,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,1,5,gpt-4.1-mini,3,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,1,5,deepseek-chat,1,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,1,5,deepseek-chat,2,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,1,5,deepseek-chat,3,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,1,5,claude-sonnet-4-6,1,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,1,5,claude-sonnet-4-6,2,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Special Issue: Advances in Network Security
per-002,1,5,claude-sonnet-4-6,3,B,0,Invitation to Collaborate on Next-Gen Secure Routing Protocols,Invitation to Collaborate on Special Issue: Advances in Network Security
per-003,1,3,gpt-4.1-mini,1,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Collaboration Opportunity on IoT Network Security Research
per-003,1,3,gpt-4.1-mini,2,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Collaboration Opportunity on IoT Network Security Research
per-003,1,3,gpt-4.1-mini,3,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Collaboration Opportunity on IoT Network Security Research
per-003,1,3,deepseek-chat,1,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Collaboration Opportunity on IoT Network Security Research
per-003,1,3,deepseek-chat,2,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Collaboration Opportunity on IoT Network Security Research
per-003,1,3,deepseek-chat,3,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Collaboration Opportunity on IoT Network Security Research
per-003,1,3,claude-sonnet-4-6,1,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Collaboration Opportunity on IoT Network Security Research
per-003,1,3,claude-sonnet-4-6,2,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Collaboration Opportunity on IoT Network Security Research
per-003,1,3,claude-sonnet-4-6,3,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Collaboration Opportunity on IoT Network Security Research
per-003,3,5,gpt-4.1-mini,1,B,0,Collaboration Opportunity on IoT Network Security Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,3,5,gpt-4.1-mini,2,B,0,Collaboration Opportunity on IoT Network Security Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,3,5,gpt-4.1-mini,3,B,0,Collaboration Opportunity on IoT Network Security Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,3,5,deepseek-chat,1,B,0,Collaboration Opportunity on IoT Network Security Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,3,5,deepseek-chat,2,B,0,Collaboration Opportunity on IoT Network Security Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,3,5,deepseek-chat,3,B,0,Collaboration Opportunity on IoT Network Security Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,3,5,claude-sonnet-4-6,1,B,0,Collaboration Opportunity on IoT Network Security Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,3,5,claude-sonnet-4-6,2,B,0,Collaboration Opportunity on IoT Network Security Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,3,5,claude-sonnet-4-6,3,B,0,Collaboration Opportunity on IoT Network Security Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,1,5,gpt-4.1-mini,1,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,1,5,gpt-4.1-mini,2,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,1,5,gpt-4.1-mini,3,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,1,5,deepseek-chat,1,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,1,5,deepseek-chat,2,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,1,5,deepseek-chat,3,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,1,5,claude-sonnet-4-6,1,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,1,5,claude-sonnet-4-6,2,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-003,1,5,claude-sonnet-4-6,3,B,0,Collaboration Opportunity on Encrypted Traffic Analysis Research,Invitation to Collaborate on AI-Driven Network Security Workshop
per-004,1,3,gpt-4.1-mini,1,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Invitation to Collaborate on AI-Driven 5G Security Workshop
per-004,1,3,gpt-4.1-mini,2,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Invitation to Collaborate on AI-Driven 5G Security Workshop
per-004,1,3,gpt-4.1-mini,3,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Invitation to Collaborate on AI-Driven 5G Security Workshop
per-004,1,3,deepseek-chat,1,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Invitation to Collaborate on AI-Driven 5G Security Workshop
per-004,1,3,deepseek-chat,2,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Invitation to Collaborate on AI-Driven 5G Security Workshop
per-004,1,3,deepseek-chat,3,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Invitation to Collaborate on AI-Driven 5G Security Workshop
per-004,1,3,claude-sonnet-4-6,1,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Invitation to Collaborate on AI-Driven 5G Security Workshop
per-004,1,3,claude-sonnet-4-6,2,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Invitation to Collaborate on AI-Driven 5G Security Workshop
per-004,1,3,claude-sonnet-4-6,3,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Invitation to Collaborate on AI-Driven 5G Security Workshop
per-004,3,5,gpt-4.1-mini,1,B,0,Invitation to Collaborate on AI-Driven 5G Security Workshop,Collaboration Opportunity on Edge Security Research
per-004,3,5,gpt-4.1-mini,2,B,0,Invitation to Collaborate on AI-Driven 5G Security Workshop,Collaboration Opportunity on Edge Security Research
per-004,3,5,gpt-4.1-mini,3,B,0,Invitation to Collaborate on AI-Driven 5G Security Workshop,Collaboration Opportunity on Edge Security Research
per-004,3,5,deepseek-chat,1,B,0,Invitation to Collaborate on AI-Driven 5G Security Workshop,Collaboration Opportunity on Edge Security Research
per-004,3,5,deepseek-chat,2,B,0,Invitation to Collaborate on AI-Driven 5G Security Workshop,Collaboration Opportunity on Edge Security Research
per-004,3,5,deepseek-chat,3,B,0,Invitation to Collaborate on AI-Driven 5G Security Workshop,Collaboration Opportunity on Edge Security Research
per-004,3,5,claude-sonnet-4-6,1,B,0,Invitation to Collaborate on AI-Driven 5G Security Workshop,Collaboration Opportunity on Edge Security Research
per-004,3,5,claude-sonnet-4-6,2,B,0,Invitation to Collaborate on AI-Driven 5G Security Workshop,Collaboration Opportunity on Edge Security Research
per-004,3,5,claude-sonnet-4-6,3,B,0,Invitation to Collaborate on AI-Driven 5G Security Workshop,Collaboration Opportunity on Edge Security Research
per-004,1,5,gpt-4.1-mini,1,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Collaboration Opportunity on Edge Security Research
per-004,1,5,gpt-4.1-mini,2,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Collaboration Opportunity on Edge Security Research
per-004,1,5,gpt-4.1-mini,3,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Collaboration Opportunity on Edge Security Research
per-004,1,5,deepseek-chat,1,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Collaboration Opportunity on Edge Security Research
per-004,1,5,deepseek-chat,2,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Collaboration Opportunity on Edge Security Research
per-004,1,5,deepseek-chat,3,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Collaboration Opportunity on Edge Security Research
per-004,1,5,claude-sonnet-4-6,1,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Collaboration Opportunity on Edge Security Research
per-004,1,5,claude-sonnet-4-6,2,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Collaboration Opportunity on Edge Security Research
per-004,1,5,claude-sonnet-4-6,3,B,0,Collaboration Opportunity on Secure Communication Protocols Research,Collaboration Opportunity on Edge Security Research
per-005,1,3,gpt-4.1-mini,1,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Initiatives
per-005,1,3,gpt-4.1-mini,2,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Initiatives
per-005,1,3,gpt-4.1-mini,3,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Initiatives
per-005,1,3,deepseek-chat,1,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Initiatives
per-005,1,3,deepseek-chat,2,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Initiatives
per-005,1,3,deepseek-chat,3,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Initiatives
per-005,1,3,claude-sonnet-4-6,1,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Initiatives
per-005,1,3,claude-sonnet-4-6,2,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Initiatives
per-005,1,3,claude-sonnet-4-6,3,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Initiatives
per-005,3,5,gpt-4.1-mini,1,B,0,Collaboration Opportunity on AI-Driven Network Security Initiatives,Collaboration Opportunity on AI-Driven Network Security Research
per-005,3,5,gpt-4.1-mini,2,B,0,Collaboration Opportunity on AI-Driven Network Security Initiatives,Collaboration Opportunity on AI-Driven Network Security Research
per-005,3,5,gpt-4.1-mini,3,B,0,Collaboration Opportunity on AI-Driven Network Security Initiatives,Collaboration Opportunity on AI-Driven Network Security Research
per-005,3,5,deepseek-chat,1,B,0,Collaboration Opportunity on AI-Driven Network Security Initiatives,Collaboration Opportunity on AI-Driven Network Security Research
per-005,3,5,deepseek-chat,2,B,0,Collaboration Opportunity on AI-Driven Network Security Initiatives,Collaboration Opportunity on AI-Driven Network Security Research
per-005,3,5,deepseek-chat,3,B,0,Collaboration Opportunity on AI-Driven Network Security Initiatives,Collaboration Opportunity on AI-Driven Network Security Research
per-005,3,5,claude-sonnet-4-6,1,B,0,Collaboration Opportunity on AI-Driven Network Security Initiatives,Collaboration Opportunity on AI-Driven Network Security Research
per-005,3,5,claude-sonnet-4-6,2,B,0,Collaboration Opportunity on AI-Driven Network Security Initiatives,Collaboration Opportunity on AI-Driven Network Security Research
per-005,3,5,claude-sonnet-4-6,3,B,0,Collaboration Opportunity on AI-Driven Network Security Initiatives,Collaboration Opportunity on AI-Driven Network Security Research
per-005,1,5,gpt-4.1-mini,1,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Research
per-005,1,5,gpt-4.1-mini,2,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Research
per-005,1,5,gpt-4.1-mini,3,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Research
per-005,1,5,deepseek-chat,1,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Research
per-005,1,5,deepseek-chat,2,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Research
per-005,1,5,deepseek-chat,3,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Research
per-005,1,5,claude-sonnet-4-6,1,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Research
per-005,1,5,claude-sonnet-4-6,2,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Research
per-005,1,5,claude-sonnet-4-6,3,B,0,Collaboration Opportunity on AI-Driven Threat Mitigation Research,Collaboration Opportunity on AI-Driven Network Security Research
per-006,1,3,gpt-4.1-mini,1,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,3,gpt-4.1-mini,2,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,3,gpt-4.1-mini,3,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,3,deepseek-chat,1,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,3,deepseek-chat,2,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,3,deepseek-chat,3,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,3,claude-sonnet-4-6,1,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,3,claude-sonnet-4-6,2,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,3,claude-sonnet-4-6,3,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,3,5,gpt-4.1-mini,1,B,0,Invitation to Collaborate on Smart City Network Security Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,3,5,gpt-4.1-mini,2,B,0,Invitation to Collaborate on Smart City Network Security Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,3,5,gpt-4.1-mini,3,B,0,Invitation to Collaborate on Smart City Network Security Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,3,5,deepseek-chat,1,B,0,Invitation to Collaborate on Smart City Network Security Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,3,5,deepseek-chat,2,B,0,Invitation to Collaborate on Smart City Network Security Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,3,5,deepseek-chat,3,B,0,Invitation to Collaborate on Smart City Network Security Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,3,5,claude-sonnet-4-6,1,B,0,Invitation to Collaborate on Smart City Network Security Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,3,5,claude-sonnet-4-6,2,B,0,Invitation to Collaborate on Smart City Network Security Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,3,5,claude-sonnet-4-6,3,B,0,Invitation to Collaborate on Smart City Network Security Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,5,gpt-4.1-mini,1,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,5,gpt-4.1-mini,2,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,5,gpt-4.1-mini,3,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,5,deepseek-chat,1,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,5,deepseek-chat,2,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,5,deepseek-chat,3,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,5,claude-sonnet-4-6,1,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,5,claude-sonnet-4-6,2,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-006,1,5,claude-sonnet-4-6,3,B,0,Invitation to Collaborate on Encrypted Traffic Analysis Workshop,Invitation to Collaborate on Smart City Network Security Workshop
per-007,1,3,gpt-4.1-mini,1,B,0,Collaboration Opportunity on IoT Security Research,Collaboration Opportunity on AI-Driven Network Security Research
per-007,1,3,gpt-4.1-mini,2,B,0,Collaboration Opportunity on IoT Security Research,Collaboration Opportunity on AI-Driven Network Security Research
per-007,1,3,gpt-4.1-mini,3,B,0,Collaboration Opportunity on IoT Security Research,Collaboration Opportunity on AI-Driven Network Security Research
per-007,1,3,deepseek-chat,1,B,0,Collaboration Opportunity on IoT Security Research,Collaboration Opportunity on AI-Driven Network Security Research
per-007,1,3,deepseek-chat,2,B,0,Collaboration Opportunity on IoT Security Research,Collaboration Opportunity on AI-Driven Network Security Research
per-007,1,3,deepseek-chat,3,B,0,Collaboration Opportunity on IoT Security Research,Collaboration Opportunity on AI-Driven Network Security Research
per-007,1,3,claude-sonnet-4-6,1,B,0,Collaboration Opportunity on IoT Security Research,Collaboration Opportunity on AI-Driven Network Security Research
per-007,1,3,claude-sonnet-4-6,2,B,0,Collaboration Opportunity on IoT Security Research,Collaboration Opportunity on AI-Driven Network Security Research
per-007,1,3,claude-sonnet-4-6,3,B,0,Collaboration Opportunity on IoT Security Research,Collaboration Opportunity on AI-Driven Network Security Research
per-007,3,5,gpt-4.1-mini,1,B,0,Collaboration Opportunity on AI-Driven Network Security Research,Invitation to Collaborate on AI-Driven Network Security Research
per-007,3,5,gpt-4.1-mini,2,B,0,Collaboration Opportunity on AI-Driven Network Security Research,Invitation to Collaborate on AI-Driven Network Security Research
per-007,3,5,gpt-4.1-mini,3,B,0,Collaboration Opportunity on AI-Driven Network Security Research,Invitation to Collaborate on AI-Driven Network Security Research
per-007,3,5,deepseek-chat,1,B,0,Collaboration Opportunity on AI-Driven Network Security Research,Invitation to Collaborate on AI-Driven Network Security Research
per-007,3,5,deepseek-chat,2,B,0,Collaboration Opportunity on AI-Driven Network Security Research,Invitation to Collaborate on AI-Driven Network Security Research
per-007,3,5,deepseek-chat,3,B,0,Collaboration Opportunity on AI-Driven Network Security Research,Invitation to Collaborate on AI-Driven Network Security Research
per-007,3,5,claude-sonnet-4-6,1,B,0,Collaboration Opportunity on AI-Driven Network Security Research,Invitation to Collaborate on AI-Driven Network Security Research
per-007,3,5,claude-sonnet-4-6,2,B,0,Collaboration Opportunity on AI-Driven Network Security Research,Invitation to Collaborate on AI-Driven Network Security Research
per-007,3,5,claude-sonnet-4-6,3,B,0,Collaboration Opportunity on AI-Driven Network Security Research,Invitation to Collaborate on AI-Driven Network Security Research
per-007,1,5,gpt-4.1-mini,1,B,0,Collaboration Opportunity on IoT Security Research,Invitation to Collaborate on AI-Driven Network Security Research
per-007,1,5,gpt-4.1-mini,2,B,0,Collaboration Opportunity on IoT Security Research,Invitation to Collaborate on AI-Driven Network Security Research
per-007,1,5,gpt-4.1-mini,3,B,0,Collaboration Opportunity on IoT Security Research,Invitation to Collaborate on AI-Driven Network Security Research
per-007,1,5,deepseek-chat,1,B,0,Collaboration Opportunity on IoT Security Research,Invitation to Collaborate on AI-Driven Network Security Research
