experiment,tid,condition,model,winner,confidence
profiler_ablation,per-019,random,deepseek-chat,A,4
profiler_ablation,per-019,random,claude-sonnet-4-6,A,5
profiler_ablation,per-019,bottom,gpt-4.1-mini,B,4
profiler_ablation,per-019,bottom,deepseek-chat,A,5
profiler_ablation,per-019,bottom,claude-sonnet-4-6,A,5
profiler_ablation,per-020,top,gpt-4.1-mini,A,4
profiler_ablation,per-020,top,deepseek-chat,A,5
profiler_ablation,per-020,top,claude-sonnet-4-6,A,4
profiler_ablation,per-020,random,gpt-4.1-mini,A,4
profiler_ablation,per-020,random,deepseek-chat,A,5
profiler_ablation,per-020,random,claude-sonnet-4-6,A,4
profiler_ablation,per-020,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-020,bottom,deepseek-chat,A,5
profiler_ablation,per-020,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-021,random,gpt-4.1-mini,A,4
profiler_ablation,per-021,random,deepseek-chat,A,5
profiler_ablation,per-021,random,claude-sonnet-4-6,A,4
profiler_ablation,per-021,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-021,bottom,deepseek-chat,A,4
profiler_ablation,per-021,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-022,random,gpt-4.1-mini,A,4
profiler_ablation,per-022,random,deepseek-chat,A,5
profiler_ablation,per-022,random,claude-sonnet-4-6,A,4
profiler_ablation,per-022,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-022,bottom,deepseek-chat,A,4
profiler_ablation,per-022,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-023,top,gpt-4.1-mini,A,5
profiler_ablation,per-023,top,deepseek-chat,A,5
profiler_ablation,per-023,top,claude-sonnet-4-6,A,5
profiler_ablation,per-023,random,gpt-4.1-mini,A,4
profiler_ablation,per-023,random,deepseek-chat,A,5
profiler_ablation,per-023,random,claude-sonnet-4-6,A,4
profiler_ablation,per-023,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-023,bottom,deepseek-chat,A,4
profiler_ablation,per-023,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-024,top,gpt-4.1-mini,A,4
profiler_ablation,per-024,top,deepseek-chat,A,5
profiler_ablation,per-024,top,claude-sonnet-4-6,A,4
profiler_ablation,per-024,random,gpt-4.1-mini,A,4
profiler_ablation,per-024,random,deepseek-chat,A,5
profiler_ablation,per-024,random,claude-sonnet-4-6,A,5
profiler_ablation,per-024,bottom,gpt-4.1-mini,A,5
profiler_ablation,per-024,bottom,deepseek-chat,A,5
profiler_ablation,per-024,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-025,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-025,bottom,deepseek-chat,A,5
profiler_ablation,per-025,bottom,claude-sonnet-4-6,A,5
profiler_ablation,per-026,top,gpt-4.1-mini,A,4
profiler_ablation,per-026,top,deepseek-chat,A,5
profiler_ablation,per-026,top,claude-sonnet-4-6,A,5
profiler_ablation,per-026,random,gpt-4.1-mini,A,4
profiler_ablation,per-026,random,deepseek-chat,A,5
profiler_ablation,per-026,random,claude-sonnet-4-6,A,3
profiler_ablation,per-026,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-026,bottom,deepseek-chat,A,4
profiler_ablation,per-026,bottom,claude-sonnet-4-6,?,0
profiler_ablation,per-027,top,gpt-4.1-mini,A,4
profiler_ablation,per-027,top,deepseek-chat,A,5
profiler_ablation,per-027,top,claude-sonnet-4-6,?,0
profiler_ablation,per-027,random,gpt-4.1-mini,A,4
profiler_ablation,per-027,random,deepseek-chat,A,5
profiler_ablation,per-027,random,claude-sonnet-4-6,A,5
profiler_ablation,per-027,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-027,bottom,deepseek-chat,A,5
profiler_ablation,per-027,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-028,random,gpt-4.1-mini,A,4
profiler_ablation,per-028,random,deepseek-chat,A,5
profiler_ablation,per-028,random,claude-sonnet-4-6,A,4
profiler_ablation,per-028,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-028,bottom,deepseek-chat,A,5
profiler_ablation,per-028,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-029,top,gpt-4.1-mini,A,4
profiler_ablation,per-029,top,deepseek-chat,A,5
profiler_ablation,per-029,top,claude-sonnet-4-6,A,4
profiler_ablation,per-029,random,gpt-4.1-mini,A,4
profiler_ablation,per-029,random,deepseek-chat,A,5
profiler_ablation,per-029,random,claude-sonnet-4-6,A,5
profiler_ablation,per-029,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-029,bottom,deepseek-chat,A,5
profiler_ablation,per-029,bottom,claude-sonnet-4-6,A,4
profiler_ablation,per-030,top,gpt-4.1-mini,A,4
profiler_ablation,per-030,top,deepseek-chat,A,5
profiler_ablation,per-030,top,claude-sonnet-4-6,A,4
profiler_ablation,per-030,random,gpt-4.1-mini,A,4
profiler_ablation,per-030,random,deepseek-chat,A,5
profiler_ablation,per-030,random,claude-sonnet-4-6,A,4
profiler_ablation,per-030,bottom,gpt-4.1-mini,A,4
profiler_ablation,per-030,bottom,deepseek-chat,A,4
profiler_ablation,per-030,bottom,claude-sonnet-4-6,?,0
