model,repeat,swapped,winner,confidence,reasoning,experiment,tid,level_a,level_b,len_a,len_b,matched_len
claude-sonnet-4-6,1,False,B,4,"Email 2 is more persuasive because it demonstrates more specific, genuine engagement with Dr. Campbell's work by citing a particular paper and conference presentation, making the outreach feel more pe",length,per-002,3,5,128,157,128
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it provides specific references to the recipient's work and funding, clearly aligns the sender's research interests, and includes a polite, professional closing with",length,per-002,3,5,128,157,128
deepseek-chat,2,True,B,4,Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work (a particular paper and presentation) and explicitly connects that work to a concrete collaborative propos,length,per-002,3,5,128,157,128
claude-sonnet-4-6,2,True,B,2,"Email 1 demonstrates more specific engagement with Dr. Campbell's work by citing a particular paper and conference presentation, which signals genuine familiarity and effort, though it is cut off mid-",length,per-002,3,5,128,157,128
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it references specific work by Dr. Campbell, demonstrates familiarity with her research, and explicitly connects shared interests to potential collaboration, making ",length,per-002,3,5,128,157,128
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific, detailed knowledge of the recipient's work (a particular paper and presentation) and directly connects it to a concrete proposal for collab",length,per-002,3,5,128,157,128
claude-sonnet-4-6,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific, genuine engagement with Dr. Campbell's work by referencing a particular paper and conference presentation, making the outreach feel more pe",length,per-002,3,5,128,157,128
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it references specific work by Dr. Campbell, acknowledges recent achievements, and clearly identifies shared research interests, making the request for collaboration",length,per-002,1,5,119,157,119
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates deeper engagement with the recipient's specific work by referencing a particular paper and a recent grant success, which shows genuine interest and b",length,per-002,1,5,119,157,119
claude-sonnet-4-6,1,False,B,4,"Email 2 demonstrates deeper familiarity with Dr. Campbell's work by referencing a specific paper title, mentioning a concrete collaboration area (resilient network architectures), and acknowledging th",length,per-002,1,5,119,157,119
gpt-4.1-mini,2,True,B,4,"Email 1 is more persuasive because it demonstrates deeper familiarity with Dr. Campbell's work, references specific achievements, and proposes a clear area for collaboration, making the request more p",length,per-002,1,5,119,157,119
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates deeper engagement with the recipient's work by referencing a specific paper and a grant success, which builds credibility and shows genuine interest,",length,per-002,1,5,119,157,119
claude-sonnet-4-6,2,True,B,3,"Email 1 demonstrates more thorough familiarity with Dr. Campbell's specific work (citing a paper title, the IEEE presentation, and the NSERC grant) which builds stronger credibility and personal conne",length,per-002,1,5,119,157,119
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it references specific works by Dr. Campbell, acknowledges recent achievements, and clearly outlines shared research interests, making the request for collaboration ",length,per-002,1,5,119,157,119
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work (including a paper title and grant success), which shows genuine interest and preparation, making the coll",length,per-002,1,5,119,157,119
claude-sonnet-4-6,3,False,B,4,"Email 2 demonstrates more thorough familiarity with Dr. Campbell's work by referencing a specific paper title, the conference presentation, and even the NSERC Discovery Grant, which signals genuine in",length,per-002,1,5,119,157,119
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates deeper familiarity with Dr. Takahashi's work, references multiple relevant projects, and highlights potential synergies, making a stronger case for c",length,per-003,1,3,118,179,118
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates deeper engagement with the recipient's work by referencing specific papers, collaborators, and a recent grant, which shows genuine interest and poten",length,per-003,1,3,118,179,118
claude-sonnet-4-6,1,False,B,4,"Email 2 demonstrates deeper familiarity with Dr. Takahashi's work by referencing multiple specific publications, a co-author, and even a recent grant, which signals genuine engagement and creates stro",length,per-003,1,3,118,179,118
gpt-4.1-mini,2,True,B,4,"Email 1 demonstrates deeper familiarity with Dr. Takahashi's work, highlights multiple specific research connections, and suggests potential collaborative synergies, making it more persuasive than the",length,per-003,1,3,118,179,118
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates deeper engagement with the recipient's work by referencing specific papers, collaborators, and a relevant grant, which builds credibility and shows g",length,per-003,1,3,118,179,118
claude-sonnet-4-6,2,True,B,4,"Email 1 demonstrates deeper familiarity with Dr. Takahashi's work by referencing multiple specific papers, co-authors, and a named grant, which signals genuine engagement and creates stronger common g",length,per-003,1,3,118,179,118
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it demonstrates deeper knowledge of Dr. Takahashi's work, references multiple relevant projects and collaborations, and highlights potential synergies, making a stro",length,per-003,1,3,118,179,118
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates deeper engagement with the recipient's work by referencing specific papers, co-authors, and a recent grant, showing genuine interest and potential fo",length,per-003,1,3,118,179,118
claude-sonnet-4-6,3,False,B,4,"Email 2 is more persuasive because it demonstrates deeper familiarity with Dr. Takahashi's work by referencing multiple specific publications, collaborators, and even a recent grant, which signals gen",length,per-003,1,3,118,179,118
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it references specific recent work and grants directly related to the recipient's research, demonstrating thorough knowledge and clear alignment of interests, which ",length,per-003,3,5,179,185,179
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates deeper engagement with the recipient's work by referencing specific details like the keynote presentation and mentorship, and it frames the collabora",length,per-003,3,5,179,185,179
claude-sonnet-4-6,1,False,B,2,"Email 2 is slightly more persuasive because it references a keynote presentation and mentions the recipient's mentorship role, showing broader familiarity with their work and creating a more personal ",length,per-003,3,5,179,185,179
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it references specific recent collaborations, a relevant grant, and clearly aligns the sender's research interests with the recipient's work, while also providing co",length,per-003,3,5,179,185,179
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it demonstrates deeper, more specific knowledge of the recipient's work (including a specific collaborator, conference, and grant), which shows genuine engagement an",length,per-003,3,5,179,185,179
claude-sonnet-4-6,2,True,A,3,"Email 2 is slightly more persuasive because it demonstrates deeper familiarity with the recipient's collaborative network (mentioning Dr. Nakamura), references a specific recent grant showing awarenes",length,per-003,3,5,179,185,179
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of Dr. Takahashi's recent work and grant, directly aligns the sender's research interests, and clearly proposes a discussion to ex",length,per-003,3,5,179,185,179
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates deeper personal engagement by referencing specific details like the recipient's keynote presentation, mentorship, and curriculum advice, which builds",length,per-003,3,5,179,185,179
claude-sonnet-4-6,3,False,B,2,"Email 2 is slightly more persuasive because it references a keynote presentation and mentions the recipient's mentorship role, showing broader familiarity with their work and creating a more personal ",length,per-003,3,5,179,185,179
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates deeper knowledge of Dr. Takahashi's work, references multiple specific contributions, and explicitly expresses interest in collaboration and mentorsh",length,per-003,1,5,118,185,118
deepseek-chat,1,False,B,4,"Email 2 demonstrates deeper engagement with the recipient's specific work, mentions multiple relevant contributions, and explicitly proposes collaboration, making it more tailored and compelling.",length,per-003,1,5,118,185,118
claude-sonnet-4-6,1,False,B,4,"Email 2 demonstrates deeper, more specific knowledge of Dr. Takahashi's work by referencing multiple concrete outputs (a co-authored paper, a keynote presentation, and mentorship activities), which si",length,per-003,1,5,118,185,118
gpt-4.1-mini,2,True,B,4,"Email 1 is more persuasive because it demonstrates deeper familiarity with Dr. Takahashi's work, references multiple specific contributions, and expresses a broader interest in collaboration, which is",length,per-003,1,5,118,185,118
deepseek-chat,2,True,B,4,"Email 1 demonstrates deeper engagement with the recipient's specific work, mentions multiple relevant contributions, and explicitly frames the collaboration as building on shared interests, making it ",length,per-003,1,5,118,185,118
claude-sonnet-4-6,2,True,B,3,"Email 1 demonstrates deeper familiarity with Dr. Takahashi's specific work (citing multiple papers, a keynote, and mentorship activities), which builds stronger credibility and rapport, even though it",length,per-003,1,5,118,185,118
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it demonstrates deeper knowledge of Dr. Takahashi's work, references multiple specific contributions, and explicitly expresses interest in collaboration and mentorsh",length,per-003,1,5,118,185,118
deepseek-chat,3,False,B,4,"Email 2 demonstrates deeper engagement with the recipient's specific work, mentions multiple relevant contributions, and explicitly proposes a collaborative opportunity, making it more tailored and pe",length,per-003,1,5,118,185,118
claude-sonnet-4-6,3,False,B,4,"Email 2 demonstrates deeper, more specific knowledge of Dr. Takahashi's work by referencing multiple concrete outputs (a co-authored paper, a keynote presentation, and mentorship activities), which si",length,per-003,1,5,118,185,118
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Petrova's recent work and achievements, establishing a stronger connection and relevance for collaboration.",length,per-004,1,3,137,153,137
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, including a particular paper and keynote, which shows genuine interest and makes the collaboration propos",length,per-004,1,3,137,153,137
claude-sonnet-4-6,1,False,B,5,"Email 2 is more persuasive because it demonstrates specific, genuine knowledge of Dr. Petrova's work by referencing her actual paper, co-author, and keynote presentation, which establishes credibility",length,per-004,1,3,137,153,137
gpt-4.1-mini,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific knowledge of Dr. Petrova's work and achievements, establishing a stronger connection and credibility, whereas Email 2 is more generic and le",length,per-004,1,3,137,153,137
deepseek-chat,2,True,B,4,"Email 1 demonstrates specific knowledge of the recipient's work, including a particular paper and keynote presentation, which shows genuine interest and makes the collaboration proposal more credible ",length,per-004,1,3,137,153,137
claude-sonnet-4-6,2,True,B,4,"Email 1 demonstrates specific knowledge of Dr. Petrova's work (citing a co-authored paper, a keynote presentation, and particular research areas), which signals genuine interest and establishes credib",length,per-004,1,3,137,153,137
gpt-4.1-mini,3,False,B,5,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Petrova's recent work and achievements, establishing credibility and a clear connection between the sender's and recipient'",length,per-004,1,3,137,153,137
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, including a particular paper and keynote presentation, which shows genuine interest and makes the collabo",length,per-004,1,3,137,153,137
claude-sonnet-4-6,3,False,B,5,"Email 2 is more persuasive because it demonstrates specific, genuine knowledge of Dr. Petrova's work by referencing her actual paper, co-author, and conference presentation, which builds credibility a",length,per-004,1,3,137,153,137
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it provides specific references to Dr. Petrova's work and recent activities, clearly aligns the sender's research interests, and politely proposes collaboration with",length,per-004,3,5,153,143,143
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it demonstrates deeper engagement with the recipient's work by referencing specific details (co-author, symposium location and year) and explicitly connects the reci",length,per-004,3,5,153,143,143
claude-sonnet-4-6,1,False,A,2,"Email 1 demonstrates slightly more credibility by citing specific details like the co-author's name (Jaan Tamm), the exact conference location (Helsinki), and mentioning 5G networks as a concrete rese",length,per-004,3,5,153,143,143
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it provides more specific details about Dr. Petrova's work, references a recent event with precise information, and clearly connects the recipient's expertise to the",length,per-004,3,5,153,143,143
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it demonstrates deeper engagement with the recipient's work by referencing specific co-authors, the exact symposium location and year, and explicitly connecting the ",length,per-004,3,5,153,143,143
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates greater specificity and credibility by naming the co-author (Jaan Tamm), specifying the year and location of the symposium (2023, Helsinki), and refe",length,per-004,3,5,153,143,143
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it provides specific references to Dr. Petrova's recent work and presentations with precise details, demonstrating thorough knowledge and genuine interest, while als",length,per-004,3,5,153,143,143
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it demonstrates deeper engagement with the recipient's work by specifically mentioning the co-author, the exact symposium location and year, and the relevance to 5G ",length,per-004,3,5,153,143,143
claude-sonnet-4-6,3,False,A,2,"Email 1 demonstrates slightly more credibility by citing specific details like the co-author's name (Jaan Tamm), the exact conference location (Helsinki), and the year (2023), which signals genuine fa",length,per-004,3,5,153,143,143
gpt-4.1-mini,1,False,B,5,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Petrova's recent work and clearly aligns the sender's research interests with hers, making the collaboration proposal more ",length,per-004,1,5,137,143,137
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Petrova's work, referencing particular presentations and papers, which shows genuine interest and a clear alignment of rese",length,per-004,1,5,137,143,137
claude-sonnet-4-6,1,False,B,5,"Email 2 is more persuasive because it demonstrates specific, genuine knowledge of Dr. Petrova's work (referencing a named symposium, her paper on IoT intrusion detection, and decentralized authenticat",length,per-004,1,5,137,143,137
gpt-4.1-mini,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific knowledge of Dr. Petrova's work and clearly articulates how the sender's research aligns, making the collaboration proposal more personalize",length,per-004,1,5,137,143,137
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work (e.g., the symposium presentation and paper on adaptive intrusion detection) and directly connects it to t",length,per-004,1,5,137,143,137
claude-sonnet-4-6,2,True,B,4,"Email 1 demonstrates specific knowledge of Dr. Petrova's work by referencing a named symposium, a particular paper topic, and a concrete current project, which signals genuine interest and establishes",length,per-004,1,5,137,143,137
gpt-4.1-mini,3,False,B,5,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Petrova's work and clearly connects it to the sender's research, making the collaboration proposal more personalized and co",length,per-004,1,5,137,143,137
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Petrova's work, referencing her recent presentation and paper, which shows genuine interest and a clear alignment of resear",length,per-004,1,5,137,143,137
claude-sonnet-4-6,3,False,B,5,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Petrova's work (referencing her paper on adaptive intrusion detection systems, her presentation at the Nordic Network Secur",length,per-004,1,5,137,143,137
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates deeper familiarity with Dr. Kumar's work by referencing a specific paper, publication, and keynote, and it clearly articulates the potential benefits",length,per-005,1,3,107,148,107
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work (including the exact paper title, journal, and keynote speech) and clearly articulates a concrete basis fo",length,per-005,1,3,107,148,107
claude-sonnet-4-6,1,False,B,4,"Email 2 demonstrates greater specificity by citing the exact paper title, publication venue, and a keynote presentation, which signals genuine familiarity with Dr. Kumar's work and establishes more cr",length,per-005,1,3,107,148,107
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it clearly expresses alignment in research interests, proposes a specific next step (a meeting), and includes a polite closing with full contact information, making ",length,per-005,1,3,107,148,107
deepseek-chat,2,True,B,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work by naming the paper, journal, and keynote, which shows genuine engagement and builds credibility, whereas ",length,per-005,1,3,107,148,107
claude-sonnet-4-6,2,True,B,4,"Email 1 demonstrates greater persuasiveness by citing specific details—the exact paper title, journal name, and conference appearance—which signals genuine familiarity with Dr. Kumar's work and establ",length,per-005,1,3,107,148,107
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it demonstrates deeper familiarity with Dr. Kumar's work by referencing specific publications and events, clearly states the sender's research focus, and explicitly ",length,per-005,1,3,107,148,107
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work (including the exact paper title, journal, and keynote speech), which builds credibility and shows genuine",length,per-005,1,3,107,148,107
claude-sonnet-4-6,3,False,B,4,"Email 2 demonstrates greater specificity by citing the exact paper title, publication venue, and a keynote presentation, which signals genuine familiarity with Dr. Kumar's work and establishes more cr",length,per-005,1,3,107,148,107
gpt-4.1-mini,1,False,B,4,"Email 2 demonstrates deeper familiarity with Dr. Kumar's recent achievements and ongoing projects, making the request for collaboration more personalized and compelling.",length,per-005,3,5,148,192,148
deepseek-chat,1,False,B,4,"Email 2 demonstrates deeper engagement with Dr. Kumar's work by referencing specific details like the conference location, a recent grant, and a collaboration on blockchain protocols, which makes the ",length,per-005,3,5,148,192,148
claude-sonnet-4-6,1,False,B,4,"Email 2 demonstrates deeper, more specific knowledge of Dr. Kumar's work by referencing the conference location, a specific grant, blockchain-based authentication collaboration, and firewall technolog",length,per-005,3,5,148,192,148
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it clearly references specific work, expresses a direct interest in collaboration, and includes a polite call to action along with the sender's full contact informat",length,per-005,3,5,148,192,148
deepseek-chat,2,True,B,4,"Email 1 demonstrates deeper engagement with Dr. Kumar's specific work, referencing his keynote, grant, blockchain collaboration, and a publication, which shows genuine interest and makes the request f",length,per-005,3,5,148,192,148
claude-sonnet-4-6,2,True,A,3,"Email 2 is more persuasive because it includes a clear, specific call to action (requesting a meeting or call), has a complete professional signature, and flows more concisely, whereas Email 1 appears",length,per-005,3,5,148,192,148
gpt-4.1-mini,3,False,B,4,"Email 2 demonstrates a deeper familiarity with Dr. Kumar's recent work and achievements, making the request for collaboration feel more personalized and informed, which enhances its persuasiveness.",length,per-005,3,5,148,192,148
deepseek-chat,3,False,B,4,"Email 2 demonstrates deeper personalization by referencing specific details like the conference location, a recent grant, and a specific collaboration, which builds stronger rapport and shows genuine ",length,per-005,3,5,148,192,148
claude-sonnet-4-6,3,False,B,4,"Email 2 demonstrates deeper, more specific knowledge of Dr. Kumar's work by referencing the conference location, a specific grant, blockchain-based authentication collaboration, and multiple research ",length,per-005,3,5,148,192,148
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Kumar's recent activities and achievements, showing genuine engagement and a stronger basis for collaboration.",length,per-005,1,5,107,192,107
deepseek-chat,1,False,B,4,"Email 2 demonstrates a deeper, more personalized engagement with the recipient's specific work, including references to a keynote, a grant, and a collaboration, which builds stronger rapport and credi",length,per-005,1,5,107,192,107
claude-sonnet-4-6,1,False,B,4,"Email 2 demonstrates significantly more specific, personalized knowledge of Dr. Kumar's work—referencing the 2024 conference, specific grant funding, blockchain-based authentication protocols, and mul",length,per-005,1,5,107,192,107
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it clearly expresses interest in collaboration, directly connects the recipient's work to the sender's research, and includes a polite call to action with contact de",length,per-005,1,5,107,192,107
deepseek-chat,2,True,B,4,"Email 1 demonstrates more persuasive power by showing specific, personalized knowledge of the recipient's work, including their keynote, grant, and specific research projects, which builds credibility",length,per-005,1,5,107,192,107
claude-sonnet-4-6,2,True,B,3,"Email 1 demonstrates more specific knowledge of Dr. Kumar's work—referencing the keynote, grant, blockchain collaboration, and publications—which builds stronger credibility and rapport, though it is ",length,per-005,1,5,107,192,107
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Kumar's recent achievements and research, showing a deeper engagement and stronger basis for collaboration.",length,per-005,1,5,107,192,107
deepseek-chat,3,False,B,4,"Email 2 demonstrates a deeper, more specific engagement with the recipient's work by referencing a keynote, a grant, and a specific collaboration, which builds stronger credibility and personal connec",length,per-005,1,5,107,192,107
claude-sonnet-4-6,3,False,B,4,"Email 2 demonstrates significantly more specific, personalized knowledge of Dr. Kumar's work—referencing the 2024 conference in Bangalore, a specific DST grant, blockchain-based authentication collabo",length,per-005,1,5,107,192,107
gpt-4.1-mini,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Lim's work and clearly articulates how the sender's research complements it, making the collaboration proposal more targete",length,per-006,1,3,114,147,114
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it demonstrates specific knowledge of Dr. Lim's work (adaptive intrusion detection, secure network protocols) and clearly connects it to the sender's own research, m",length,per-006,1,3,114,147,114
