target_id,pair,model,winner
rev-009,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-010,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-010,S+C-_vs_S-C+,deepseek-chat,B
rev-010,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-010,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-010,S-C+_vs_S-C-,deepseek-chat,A
rev-010,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-011,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-011,S+C-_vs_S-C+,deepseek-chat,B
rev-011,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-011,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-011,S-C+_vs_S-C-,deepseek-chat,A
rev-011,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-012,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-012,S+C-_vs_S-C+,deepseek-chat,B
rev-012,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-012,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-012,S-C+_vs_S-C-,deepseek-chat,A
rev-012,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-013,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-013,S+C-_vs_S-C+,deepseek-chat,B
rev-013,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-013,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-013,S-C+_vs_S-C-,deepseek-chat,A
rev-013,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-014,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-014,S+C-_vs_S-C+,deepseek-chat,B
rev-014,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-014,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-014,S-C+_vs_S-C-,deepseek-chat,A
rev-014,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-015,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-015,S+C-_vs_S-C+,deepseek-chat,B
rev-015,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-015,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-015,S-C+_vs_S-C-,deepseek-chat,A
rev-015,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-016,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-016,S+C-_vs_S-C+,deepseek-chat,B
rev-016,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-016,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-016,S-C+_vs_S-C-,deepseek-chat,A
rev-016,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-017,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-017,S+C-_vs_S-C+,deepseek-chat,B
rev-017,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-017,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-017,S-C+_vs_S-C-,deepseek-chat,A
rev-017,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-018,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-018,S+C-_vs_S-C+,deepseek-chat,B
rev-018,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-018,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-018,S-C+_vs_S-C-,deepseek-chat,A
rev-018,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-019,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-019,S+C-_vs_S-C+,deepseek-chat,B
rev-019,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-019,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-019,S-C+_vs_S-C-,deepseek-chat,A
rev-019,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-020,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-020,S+C-_vs_S-C+,deepseek-chat,B
rev-020,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-020,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-020,S-C+_vs_S-C-,deepseek-chat,A
rev-020,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-021,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-021,S+C-_vs_S-C+,deepseek-chat,B
rev-021,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-021,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-021,S-C+_vs_S-C-,deepseek-chat,A
rev-021,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-022,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-022,S+C-_vs_S-C+,deepseek-chat,B
rev-022,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-022,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-022,S-C+_vs_S-C-,deepseek-chat,A
rev-022,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-023,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-023,S+C-_vs_S-C+,deepseek-chat,B
rev-023,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-023,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-023,S-C+_vs_S-C-,deepseek-chat,A
rev-023,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-024,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-024,S+C-_vs_S-C+,deepseek-chat,B
rev-024,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-024,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-024,S-C+_vs_S-C-,deepseek-chat,A
rev-024,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-025,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-025,S+C-_vs_S-C+,deepseek-chat,B
rev-025,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-025,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-025,S-C+_vs_S-C-,deepseek-chat,A
rev-025,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-026,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-026,S+C-_vs_S-C+,deepseek-chat,B
rev-026,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-026,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-026,S-C+_vs_S-C-,deepseek-chat,A
rev-026,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-027,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-027,S+C-_vs_S-C+,deepseek-chat,B
rev-027,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-027,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-027,S-C+_vs_S-C-,deepseek-chat,A
rev-027,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-028,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-028,S+C-_vs_S-C+,deepseek-chat,B
rev-028,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-028,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-028,S-C+_vs_S-C-,deepseek-chat,A
rev-028,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-029,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-029,S+C-_vs_S-C+,deepseek-chat,B
rev-029,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-029,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-029,S-C+_vs_S-C-,deepseek-chat,A
rev-029,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-030,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-030,S+C-_vs_S-C+,deepseek-chat,B
rev-030,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-030,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-030,S-C+_vs_S-C-,deepseek-chat,A
rev-030,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-031,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-031,S+C-_vs_S-C+,deepseek-chat,B
rev-031,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-031,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-031,S-C+_vs_S-C-,deepseek-chat,A
rev-031,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-032,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-032,S+C-_vs_S-C+,deepseek-chat,B
rev-032,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-032,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-032,S-C+_vs_S-C-,deepseek-chat,A
rev-032,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-033,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-033,S+C-_vs_S-C+,deepseek-chat,B
rev-033,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-033,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-033,S-C+_vs_S-C-,deepseek-chat,A
rev-033,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-034,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-034,S+C-_vs_S-C+,deepseek-chat,A
rev-034,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-034,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-034,S-C+_vs_S-C-,deepseek-chat,A
rev-034,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-035,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-035,S+C-_vs_S-C+,deepseek-chat,B
rev-035,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-035,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-035,S-C+_vs_S-C-,deepseek-chat,A
rev-035,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-036,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-036,S+C-_vs_S-C+,deepseek-chat,B
rev-036,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-036,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-036,S-C+_vs_S-C-,deepseek-chat,A
rev-036,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-037,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-037,S+C-_vs_S-C+,deepseek-chat,B
rev-037,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-037,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-037,S-C+_vs_S-C-,deepseek-chat,A
rev-037,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-038,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-038,S+C-_vs_S-C+,deepseek-chat,B
rev-038,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-038,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-038,S-C+_vs_S-C-,deepseek-chat,A
rev-038,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-039,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-039,S+C-_vs_S-C+,deepseek-chat,B
rev-039,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-039,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-039,S-C+_vs_S-C-,deepseek-chat,A
rev-039,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-040,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-040,S+C-_vs_S-C+,deepseek-chat,B
rev-040,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-040,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-040,S-C+_vs_S-C-,deepseek-chat,A
rev-040,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-041,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-041,S+C-_vs_S-C+,deepseek-chat,B
rev-041,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-041,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-041,S-C+_vs_S-C-,deepseek-chat,A
rev-041,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-042,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-042,S+C-_vs_S-C+,deepseek-chat,B
rev-042,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-042,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-042,S-C+_vs_S-C-,deepseek-chat,A
rev-042,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-043,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-043,S+C-_vs_S-C+,deepseek-chat,B
rev-043,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-043,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-043,S-C+_vs_S-C-,deepseek-chat,A
rev-043,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-044,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-044,S+C-_vs_S-C+,deepseek-chat,B
rev-044,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-044,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-044,S-C+_vs_S-C-,deepseek-chat,A
rev-044,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-045,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-045,S+C-_vs_S-C+,deepseek-chat,B
rev-045,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-045,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-045,S-C+_vs_S-C-,deepseek-chat,A
rev-045,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-046,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-046,S+C-_vs_S-C+,deepseek-chat,B
rev-046,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-046,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-046,S-C+_vs_S-C-,deepseek-chat,A
rev-046,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-047,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-047,S+C-_vs_S-C+,deepseek-chat,B
rev-047,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-047,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-047,S-C+_vs_S-C-,deepseek-chat,A
rev-047,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-048,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-048,S+C-_vs_S-C+,deepseek-chat,A
rev-048,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-048,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-048,S-C+_vs_S-C-,deepseek-chat,A
rev-048,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-049,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-049,S+C-_vs_S-C+,deepseek-chat,B
rev-049,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-049,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-049,S-C+_vs_S-C-,deepseek-chat,A
rev-049,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-050,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-050,S+C-_vs_S-C+,deepseek-chat,B
rev-050,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-050,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-050,S-C+_vs_S-C-,deepseek-chat,A
rev-050,S-C+_vs_S-C-,claude-sonnet-4-6,A
