target_id,persona_name,S+C-_subject,S+C-_body,S-C+_subject,S-C+_body
per-011,Dr. Do-Yun Choi,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Distinguished Colleague,

On behalf of the Program Committee of the 14th International Symposium on Computational Sciences (ISCS 2025), to be held September 18–21, 2025, at the Grand Meridian Conference Centre, Geneva, Switzerland, I am pleased to inform you that your name has been formally submitted for consideration for the ISCS Distinguished Scholar Award.

This prestigious recognition, established in 2009 by the International Federation of Computational Research Societies (IFCRS), is awarded annually to no more than three individuals demonstrating exceptional contributions to the broader field. The selection committee, chaired by Professor Eleanor Hartmann of ETH Zürich and co-chaired by Dr. Rajiv Subramaniam of MIT, will convene on July 30, 2025.

To advance your nomination, please submit a current curriculum vitae, a 500-word professional statement, and two letters of endorsement to nominations@iscs2025.org no later than June 15, 2025.

We look forward to your participation.

Sincerely,
Dr. Margaret L. Forsythe
Secretary-General, ISCS Program Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-012,Dr. Charlotte Graves,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Emerging Technologies (ISET-2025),"Dear Dr. [Recipient],

On behalf of the Awards and Recognition Committee of the International Symposium on Emerging Technologies (ISET-2025), I am pleased to inform you that you have been formally nominated for the Distinguished Scholar Award in recognition of your contributions to the academic community.

ISET-2025 will be held from September 14–17, 2025, at the Grand Meridian Conference Centre, Geneva, Switzerland. The awards ceremony is scheduled for the evening of September 16th, hosted by Committee Chair Professor Eleanor Hartmann of the Zurich Institute for Advanced Studies.

Nominations were reviewed by a panel including representatives from MIT, ETH Zurich, and the European Research Council. The selection deadline is June 30, 2025. Should you accept, please complete the enclosed nomination acceptance form and return it to awards@iset2025.org by July 15, 2025.

We would be honored by your participation.

Sincerely,
Dr. Marcus Albright
Secretary General, ISET Awards Committee
albright@iset2025.org | +41 22 555 0192",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-013,Dr. Thomas Peeters,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Distinguished Colleague,

It is with great pleasure that the Awards Committee of the International Symposium on Computational Sciences (ISCS) formally notifies you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will convene from September 14–17, 2025, at the Meridian Conference Centre, Geneva, Switzerland. The Awards Ceremony is scheduled for the evening of September 16, hosted by Committee Chair Professor Eleanor Hartmann of the Zurich Institute for Advanced Studies.

Nominees are requested to submit a curriculum vitae, a 500-word research statement, and two letters of recommendation to the secretariat at awards@iscs-symposium.org no later than June 30, 2025. All materials must conform to the ISCS Style Guidelines (Revision 4.2, January 2025).

The selection panel, comprising fourteen internationally recognized scholars, will convene in Lausanne on July 21, 2025, to deliberate final recipients.

We respectfully request confirmation of your acceptance of this nomination by May 15, 2025.

Yours sincerely,
Dr. Marcus Albrecht
Secretary-General, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
per-014,Dr. Anna Schmidt,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Researcher],

On behalf of the Program Committee of the 14th International Symposium on Computational Sciences (ISCS 2025), to be held September 18–21, 2025, at the Marriott Grand Conference Centre, Geneva, Switzerland, I am pleased to inform you that you have been nominated for the Distinguished Scholar Award in recognition of sustained contributions to your field.

The nomination was submitted by the Awards Subcommittee, chaired by Professor Eleanor Hartmann (ETH Zürich) and co-chaired by Professor David Okonkwo (University of Edinburgh). The selection panel includes representatives from MIT, Stanford, and the Max Planck Institute.

To confirm your nomination, please submit a two-page curriculum vitae and a brief statement of research impact no later than March 31, 2025, to awards@iscs2025-symposium.org.

Registration and travel grant information is available at www.iscs2025-symposium.org. Early registration closes April 15, 2025.

We look forward to your participation.

Sincerely,
Professor James Whitfield
General Chair, ISCS 2025
Department of Computer Science, University of Amsterdam",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your methodology in one of your recent papers. Would you be open to a brief chat sometime? Happy to work around your schedule.

Thanks"
per-015,Dr. Maya Barak,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [SYNTHETIC_PERSONA],

On behalf of the Program Committee of the 14th International Symposium on Computational Sciences (ISCS 2025), to be held September 18–21, 2025, at the Grand Meridian Conference Centre, Geneva, Switzerland, I am pleased to inform you that your name has been formally nominated for the Distinguished Scholar Award in Applied Research.

This award, established in 2009 by the ISCS Foundation in partnership with the European Research Consortium (ERC-Advisory Board), recognizes outstanding contributions to the broader computational sciences community. Previous recipients include luminaries from institutions such as ETH Zürich, MIT, and the National University of Singapore.

The nomination deadline is March 31, 2025. To proceed, please submit a two-page curriculum vitae, a brief statement of research impact (500 words maximum), and two letters of recommendation to awards@iscs2025-symposium.org by the stated deadline.

We would be honored by your participation.

Sincerely,
Professor Helena Voss
Chair, ISCS 2025 Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
per-016,Dr. Mariana Costa,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Distinguished Colleague,

On behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), I am honored to formally notify you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will be held September 14–17, 2025, at the Meridian Convention Centre, Geneva, Switzerland. The Awards Ceremony is scheduled for the evening of September 16th, hosted in the Grand Ballroom, Hall C.

This nomination was submitted by the ISCS Regional Selection Board, chaired by Professor Eleanor Hartmann of the University of Zurich, in coordination with Dr. Marcus Oyelaran of the Cambridge Institute for Advanced Studies. The committee convenes annually to recognize scholars whose contributions have meaningfully advanced their respective disciplines.

To confirm your nomination and complete the required acceptance documentation, please submit your curriculum vitae and a brief professional biography no later than July 31, 2025, via our secure portal at submissions.iscs-symposium.org.

We look forward to celebrating your achievements in Geneva.

Warm regards,
Dr. Ingrid Solberg
Executive Secretary, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
per-017,Dr. Fatima Al Mazrouei,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Distinguished Colleague,

On behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), I am honored to formally notify you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will convene from September 14–17, 2025, at the Meridian Conference Centre, Geneva, Switzerland. The selection committee, chaired by Professor Eleanor Hartmann of ETH Zurich and co-chaired by Dr. Rajiv Menon of the Massachusetts Institute of Technology, will evaluate nominees across four criteria: scholarly impact, methodological innovation, interdisciplinary contribution, and professional service.

Nomination materials, including a two-page curriculum vitae and a 500-word statement of research contributions, must be submitted via our secure portal at iscs-awards.org no later than June 30, 2025. Letters of support from two senior colleagues are also required.

Please confirm receipt of this notification by contacting our Secretariat at committee@iscs-awards.org.

We look forward to your participation.

Sincerely,
Professor Margaret L. Forsythe
Chair, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
per-018,Dr. Michael Chen,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Surname],

It is with great pleasure that the Awards Committee of the International Symposium on Computational Sciences (ISCS) formally notifies you of your nomination for the 2025 Distinguished Scholar Award in Applied Research.

The symposium will be held from September 14–17, 2025, at the Meridian Conference Centre, Geneva, Switzerland. The Awards Ceremony is scheduled for the evening of September 16th, hosted in the Grand Ballroom.

The ISCS Distinguished Scholar Award, established in 1998 by the Foundation for Advancing Scientific Excellence (FASE), recognizes outstanding contributions to the broader academic community. Previous recipients include Professor Helena Voss (ETH Zürich, 2023) and Dr. Rajiv Anand (MIT, 2022).

To confirm your nomination, please submit a brief biographical statement and curriculum vitae no later than July 31, 2025, to the Committee Secretariat at awards@iscs-symposium.org.

We look forward to celebrating your contributions to the field.

Warm regards,
Professor Margaret L. Thornton
Chair, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-019,Dr. Ingrid Bergstrom,Nomination for the 2025 Distinguished Contributions Award – IEEE Symposium on Security and Privacy,"Dear Dr. [SYNTHETIC_PERSONA],

On behalf of the Program Committee of the 46th IEEE Symposium on Security and Privacy (IEEE S&P 2025), to be held May 19–22, 2025, at the San Francisco Marriott Marquis, California, I am pleased to inform you that your name has been formally nominated for the Distinguished Contributions to Security Research Award.

This award, established in 2003 and co-sponsored by the IEEE Technical Committee on Security and Privacy and the ACM Special Interest Group on Security, Audit and Control (SIGSAC), recognizes researchers who have demonstrated sustained excellence and broad impact across the information security community.

The nomination was submitted by the Awards Subcommittee, chaired by Professor Eleanor Hartwell (Carnegie Mellon University) and Professor Dmitri Volkov (ETH Zürich). The selection deadline is March 14, 2025.

Please confirm your acceptance of this nomination by February 28, 2025, by contacting our coordinator, Ms. Patricia Nguyen, at awards-committee@ieee-sp2025-simulation.org.

Sincerely,
Professor James R. Calloway
General Chair, IEEE S&P 2025 [SYNTHETIC]",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your methodology in one of your recent papers. Would you have a few minutes to chat sometime this week?

Thanks so much,
A colleague"
per-020,Dr. Ethan Brown,Nomination for the 2025 Distinguished Researcher Award – IEEE International Symposium on Information Security,"Dear Dr. [Surname],

I am writing on behalf of the Awards and Nominations Committee of the IEEE International Symposium on Information Security (ISIS-2025), to be held September 14–17, 2025, at the Marriott Marquis Conference Center in Washington, D.C.

Following deliberations by our committee — comprising representatives from Stanford University, ETH Zürich, Carnegie Mellon University, and the National Institute of Standards and Technology — your name has been formally put forward for the 2025 Distinguished Researcher Award in recognition of sustained contributions to the field.

The nomination deadline is June 30, 2025. Should you accept, we would require a two-page biography, a list of selected publications, and a brief statement of research impact, submitted via our portal at isis-awards.ieee-org.example.com by 23:59 EST.

The award ceremony will be presided over by IEEE President Dr. Kathleen Kramer and carries a $5,000 honorarium.

Please confirm receipt at your earliest convenience.

Sincerely,
Professor Jonathan R. Whitfield
Chair, ISIS-2025 Awards Committee
George Washington University",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your methodology in one of your recent papers. Would you have a few minutes to chat sometime?

Thanks,
A colleague"
per-021,Dr. Ryan MacDonald,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Researcher],

On behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), I am honored to formally notify you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will be held September 14–17, 2025, at the Harrington Convention Centre, Edinburgh, Scotland, co-hosted by the University of Edinburgh and the Global Institute for Advanced Computing (GIAC). The selection committee, chaired by Professor Margaret Holloway and Dr. Anand Krishnamurthy, reviews nominations submitted by institutional partners across 42 countries.

Recipients are recognized at the Gala Ceremony on September 16th and receive a commemorative medallion, a $5,000 honorarium, and publication priority in the ISCS Annual Proceedings (ISSN 2041-8744).

To confirm your acceptance of this nomination, please complete the enclosed Nominee Verification Form (NVF-2025) and return it to nominations@iscs-symposium.org no later than July 31, 2025.

We look forward to celebrating your contributions to the scholarly community.

Warm regards,
Dr. Patricia Elsworth
Executive Secretary, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
per-022,Dr. Sakura Yamamoto,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [SYNTHETIC_PERSONA],

On behalf of the Program Committee of the 14th International Symposium on Computational Sciences (ISCS 2025), to be held September 18–21, 2025, at the Grand Meridian Conference Centre, Geneva, Switzerland, I am pleased to inform you that your name has been formally nominated for the Distinguished Scholar Award in Applied Research.

This prestigious recognition, established in 2009 by the ISCS Foundation Board under the patronage of Professor Eleanor Whitmore and Dr. Heinrich Strauss, is awarded annually to no more than three scholars demonstrating exceptional contributions to their respective fields.

The nomination was submitted by the Awards Subcommittee, chaired by Professor Amara Osei-Bonsu (University of Edinburgh), and seconded by Dr. Liang Fentworth (MIT Lincoln Laboratory). The submission deadline for your acceptance and supporting materials is July 31, 2025.

Please confirm your interest by contacting our secretariat at awards@iscs2025-symposium.org.

Warm regards,
Professor James Caldwell
General Chair, ISCS 2025",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problems you work on. Would you be open to a brief chat sometime?

Thanks for your time."
per-023,Dr. Martin Lepik,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Surname],

It is with great pleasure that the Awards Committee of the International Symposium on Computational Sciences (ISCS) formally notifies you of your nomination for the 2025 Distinguished Scholar Award in Applied Research.

The symposium will be held from September 14–17, 2025, at the Meridian Conference Centre, Geneva, Switzerland. The Awards Ceremony is scheduled for the evening of September 16th, hosted in the Grand Ballroom.

The ISCS Distinguished Scholar Award, established in 1998 by the Foundation for Advancing Scientific Excellence (FASE), recognizes outstanding contributions to the broader academic community. Previous recipients include Professor Helena Voss (ETH Zürich, 2023) and Dr. Rajiv Anand (MIT, 2022).

To confirm your nomination, please submit a brief biographical statement and curriculum vitae no later than July 31, 2025, to the Committee Secretariat at awards@iscs-symposium.org.

We look forward to celebrating your contributions to the field.

Warm regards,
Professor Margaret L. Thornton
Chair, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-024,Dr. Deepa Reddy,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Distinguished Colleague,

On behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), I am honored to formally notify you of your nomination for the 2025 Distinguished Scholar Award in Applied Research Excellence.

The symposium will convene from September 14–17, 2025, at the Meridian Conference Centre, Geneva, Switzerland. The selection committee, chaired by Professor Eleanor Hartmann of the ETH Zurich Institute for Advanced Study, will evaluate nominees based on scholarly impact, interdisciplinary contribution, and professional standing within the academic community.

Nominees are requested to submit a current curriculum vitae, a 500-word personal statement, and two letters of recommendation from tenured faculty no later than June 30, 2025. All materials should be directed to the ISCS Secretariat at awards@iscs-symposium.org.

The Distinguished Scholar Award carries a certificate of recognition, a €2,500 honorarium, and a keynote invitation for the awards ceremony on September 16, 2025.

We look forward to your participation.

Sincerely,
Dr. Marcus Albright
Chair, ISCS Awards Committee
International Symposium on Computational Sciences",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the problem space you work in. Would you be open to a brief chat sometime?

Thanks for your time."
per-025,Dr. Wei Jie Ng,Nomination for the 2025 Distinguished Scholar Award – International Symposium on Computational Sciences,"Dear Dr. [Surname],

I am writing on behalf of the Awards and Recognition Committee of the International Symposium on Computational Sciences (ISCS), scheduled to convene on March 14–17, 2025, at the Harrington Convention Centre, Edinburgh, United Kingdom.

Following deliberations by our selection panel — comprising Professor Eleanor Whitfield (MIT), Dr. Rajiv Anand (ETH Zürich), and Dr. Camille Fontaine (Sorbonne Université) — your name has been formally nominated for the 2025 Distinguished Scholar Award in recognition of sustained contributions to the academic community.

The nomination deadline is January 31, 2025. Should you accept, we kindly request a brief biographical statement (250 words maximum) and a curriculum vitae submitted via our secure portal at submissions.iscs-conference.org by February 7, 2025.

The award ceremony will be hosted during the symposium's gala dinner on March 16, 2025.

Please confirm your acceptance by contacting our coordinator, Ms. Patricia Holloway, at awards@iscs-conference.org.

Warm regards,
Professor James Alderton
Chair, ISCS Awards Committee",Quick question about your work,"Hi,

I came across some of your research recently and found it really interesting. I had a quick question about your general approach to the topic — would you be open to a brief chat sometime?

No pressure at all. Thanks for your time.

Best"
