target_id,pair,model,winner
rev-036,S-C+_vs_S-C-,claude-sonnet-4-6,B
rev-037,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-037,S+C-_vs_S-C+,deepseek-chat,B
rev-037,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-037,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-037,S-C+_vs_S-C-,deepseek-chat,A
rev-037,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-038,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-038,S+C-_vs_S-C+,deepseek-chat,A
rev-038,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-038,S-C+_vs_S-C-,gpt-4.1-mini,B
rev-038,S-C+_vs_S-C-,deepseek-chat,B
rev-038,S-C+_vs_S-C-,claude-sonnet-4-6,B
rev-040,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-040,S+C-_vs_S-C+,deepseek-chat,A
rev-040,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-040,S-C+_vs_S-C-,gpt-4.1-mini,B
rev-040,S-C+_vs_S-C-,deepseek-chat,B
rev-040,S-C+_vs_S-C-,claude-sonnet-4-6,B
rev-041,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-041,S+C-_vs_S-C+,deepseek-chat,A
rev-041,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-041,S-C+_vs_S-C-,gpt-4.1-mini,B
rev-041,S-C+_vs_S-C-,deepseek-chat,B
rev-041,S-C+_vs_S-C-,claude-sonnet-4-6,B
rev-042,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-042,S+C-_vs_S-C+,deepseek-chat,A
rev-042,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-042,S-C+_vs_S-C-,gpt-4.1-mini,B
rev-042,S-C+_vs_S-C-,deepseek-chat,A
rev-042,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-044,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-044,S+C-_vs_S-C+,deepseek-chat,A
rev-044,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-044,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-044,S-C+_vs_S-C-,deepseek-chat,A
rev-044,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-045,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-045,S+C-_vs_S-C+,deepseek-chat,B
rev-045,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-045,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-045,S-C+_vs_S-C-,deepseek-chat,A
rev-045,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-046,S+C-_vs_S-C+,gpt-4.1-mini,A
rev-046,S+C-_vs_S-C+,deepseek-chat,A
rev-046,S+C-_vs_S-C+,claude-sonnet-4-6,A
rev-046,S-C+_vs_S-C-,gpt-4.1-mini,B
rev-046,S-C+_vs_S-C-,deepseek-chat,A
rev-046,S-C+_vs_S-C-,claude-sonnet-4-6,A
rev-048,S+C-_vs_S-C+,gpt-4.1-mini,B
rev-048,S+C-_vs_S-C+,deepseek-chat,B
rev-048,S+C-_vs_S-C+,claude-sonnet-4-6,B
rev-048,S-C+_vs_S-C-,gpt-4.1-mini,A
rev-048,S-C+_vs_S-C-,deepseek-chat,A
rev-048,S-C+_vs_S-C-,claude-sonnet-4-6,A
