target_id,pair,model,winner,confidence
per-033,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-034,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-034,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-035,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-035,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-036,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-036,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-037,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-037,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-038,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-038,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-039,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-039,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-040,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-040,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-041,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-041,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-042,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-042,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-043,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-043,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-044,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-044,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-045,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-045,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-046,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-046,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-047,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-047,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-048,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-048,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-049,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-049,S+C-_vs_S-C+,claude-sonnet-4-6,A,
per-050,S+C-_vs_S-C+,gpt-4.1-mini,A,
per-050,S+C-_vs_S-C+,claude-sonnet-4-6,A,
