word_count,flesch_reading_ease,flesch_kincaid_grade,named_entity_count,cta_cue_count,pronoun_first,pronoun_second,hedging_density,formality_density,target_id,hook_level,error
87,45.4,10.0,3,2,0.046,0.046,0.0,0.0,per-014,1,False
126,28.2,12.5,8,4,0.0238,0.0714,0.0079,0.0,per-014,3,False
146,31.1,12.2,8,1,0.0411,0.0479,0.0068,0.0,per-014,5,False
81,46.8,9.6,4,2,0.0494,0.0617,0.0,0.0,per-015,1,False
102,29.5,12.8,5,2,0.0392,0.0686,0.0098,0.0,per-015,3,False
144,28.3,12.9,7,2,0.0417,0.0556,0.0,0.0,per-015,5,False
83,43.9,10.1,5,2,0.0361,0.0602,0.0,0.0,per-016,1,False
105,29.5,13.5,6,1,0.0381,0.0571,0.0095,0.0,per-016,3,False
166,35.1,12.1,8,2,0.0361,0.0602,0.0,0.0,per-016,5,False
89,37.1,11.2,6,2,0.0225,0.0449,0.0,0.0,per-017,1,False
140,17.0,14.8,7,2,0.0143,0.0643,0.0,0.0,per-017,3,False
183,11.7,16.2,13,1,0.0219,0.0656,0.0,0.0,per-017,5,False
80,43.3,9.7,4,2,0.0375,0.0625,0.0,0.0,per-018,1,False
113,36.1,11.3,6,1,0.0265,0.0531,0.0088,0.0,per-018,3,False
149,33.0,12.0,8,1,0.0336,0.0537,0.0067,0.0,per-018,5,False
84,31.5,12.3,4,3,0.0357,0.0476,0.0,0.0,per-019,1,False
120,23.8,14.2,5,1,0.0333,0.0667,0.0083,0.0,per-019,3,False
187,25.8,13.9,8,1,0.0267,0.0695,0.0,0.0,per-019,5,False
93,36.8,11.0,5,2,0.0323,0.043,0.0,0.0,per-020,1,False
115,29.1,12.4,6,1,0.0261,0.0435,0.0,0.0,per-020,3,False
150,32.3,12.1,8,2,0.0467,0.06,0.0067,0.0,per-020,5,False
84,36.5,11.1,4,3,0.0357,0.0476,0.0,0.0,per-021,1,False
112,26.5,12.7,5,2,0.0446,0.0536,0.0089,0.0,per-021,3,False
146,12.7,16.0,8,1,0.0342,0.0685,0.0137,0.0,per-021,5,False
89,31.1,12.6,3,2,0.0449,0.0562,0.0,0.0,per-022,1,False
110,26.0,13.1,5,2,0.0364,0.0545,0.0091,0.0,per-022,3,False
153,26.4,12.8,7,2,0.0196,0.0458,0.0065,0.0,per-022,5,False
86,22.1,13.7,4,2,0.0349,0.0465,0.0,0.0,per-023,1,False
116,31.0,13.0,6,1,0.0345,0.0603,0.0086,0.0,per-023,3,False
138,25.6,14.6,8,1,0.029,0.0725,0.0,0.0,per-023,5,False
81,30.2,12.4,3,2,0.0247,0.0494,0.0,0.0,per-024,1,False
119,24.0,13.6,6,2,0.0336,0.0504,0.0084,0.0,per-024,3,False
164,28.2,13.0,11,1,0.0305,0.0549,0.0061,0.0,per-024,5,False
76,38.1,11.1,2,3,0.0263,0.0658,0.0,0.0,per-025,1,False
117,24.4,13.1,6,3,0.0256,0.0598,0.0085,0.0,per-025,3,False
161,32.2,12.4,9,1,0.0248,0.0683,0.0,0.0,per-025,5,False
74,48.0,9.6,3,2,0.0405,0.0541,0.0,0.0,per-026,1,False
115,26.1,13.7,7,1,0.0261,0.0348,0.0,0.0,per-026,3,False
141,31.1,13.3,6,2,0.0284,0.0567,0.0,0.0,per-026,5,False
77,36.7,10.5,3,2,0.026,0.0519,0.0,0.0,per-027,1,False
112,34.6,11.2,7,1,0.0268,0.0536,0.0179,0.0,per-027,3,False
158,30.6,12.6,10,1,0.0253,0.0443,0.0063,0.0,per-027,5,False
77,28.7,12.0,6,3,0.039,0.0519,0.0,0.0,per-028,1,False
108,30.2,12.4,7,1,0.0278,0.037,0.0,0.0,per-028,3,False
151,22.3,13.9,10,2,0.0265,0.0464,0.0,0.0,per-028,5,False
82,41.2,10.4,5,2,0.0244,0.0488,0.0,0.0,per-029,1,False
118,45.1,10.2,7,2,0.0254,0.0508,0.0085,0.0,per-029,3,False
163,35.1,12.1,10,1,0.0245,0.0491,0.0061,0.0,per-029,5,False
78,39.6,11.0,3,2,0.0385,0.0513,0.0,0.0,per-030,1,False
105,33.7,12.3,9,0,0.0286,0.0476,0.0095,0.0,per-030,3,False
150,34.8,12.5,12,1,0.04,0.04,0.0,0.0,per-030,5,False
81,41.7,10.8,4,2,0.037,0.0617,0.0,0.0,per-031,1,False
110,48.3,9.6,5,1,0.0364,0.0455,0.0091,0.0,per-031,3,False
141,32.9,12.2,11,1,0.0355,0.0355,0.0142,0.0,per-031,5,False
77,43.0,10.0,3,2,0.026,0.0519,0.0,0.0,per-032,1,False
108,34.1,11.9,4,2,0.0278,0.0556,0.0093,0.0,per-032,3,False
151,24.1,14.6,8,2,0.0199,0.053,0.0,0.0,per-032,5,False
85,49.2,9.4,3,2,0.0471,0.0588,0.0,0.0,per-033,1,False
134,45.5,10.2,7,3,0.0373,0.0672,0.0,0.0,per-033,3,False
182,34.8,12.2,8,1,0.022,0.0495,0.0055,0.0,per-033,5,False
84,35.5,11.3,3,2,0.0238,0.0595,0.0,0.0,per-034,1,False
106,37.7,10.9,6,1,0.0283,0.0566,0.0,0.0,per-034,3,False
152,32.7,12.9,9,2,0.0263,0.0592,0.0,0.0,per-034,5,False
77,43.0,10.0,3,2,0.026,0.0519,0.0,0.0,per-035,1,False
115,33.5,12.7,6,4,0.0348,0.0609,0.0087,0.0,per-035,3,False
132,31.9,12.1,10,1,0.0303,0.0682,0.0,0.0,per-035,5,False
87,45.4,10.0,3,2,0.046,0.023,0.0,0.0,per-036,1,False
139,40.8,11.4,10,2,0.036,0.0647,0.0072,0.0,per-036,3,False
154,38.4,12.2,8,2,0.0195,0.0649,0.0065,0.0,per-036,5,False
82,36.1,11.1,6,3,0.0366,0.0488,0.0,0.0,per-037,1,False
123,38.9,11.2,9,1,0.0325,0.0488,0.0081,0.0,per-037,3,False
141,32.3,13.1,9,1,0.0213,0.0567,0.0142,0.0,per-037,5,False
74,41.1,10.6,4,2,0.0405,0.0405,0.0,0.0,per-038,1,False
119,33.2,12.3,8,2,0.0336,0.0504,0.0,0.0,per-038,3,False
149,21.6,14.9,12,1,0.0201,0.0537,0.0,0.0,per-038,5,False
74,34.9,11.0,3,2,0.0676,0.0405,0.0,0.0,per-039,1,False
106,37.0,11.4,5,1,0.0377,0.0472,0.0,0.0,per-039,3,False
146,31.6,12.9,9,2,0.0411,0.0548,0.0,0.0,per-039,5,False
83,46.0,9.8,5,2,0.0361,0.0482,0.0,0.0,per-040,1,False
115,38.6,11.0,8,1,0.0522,0.0435,0.0087,0.0,per-040,3,False
156,37.0,12.0,9,2,0.0321,0.0641,0.0,0.0,per-040,5,False
92,35.3,11.6,3,3,0.0435,0.0326,0.0,0.0,per-041,1,False
127,32.0,12.3,8,1,0.0315,0.0394,0.0079,0.0,per-041,3,False
163,28.8,12.9,13,1,0.0368,0.0429,0.0061,0.0,per-041,5,False
82,38.2,11.3,4,2,0.0488,0.061,0.0122,0.0,per-042,1,False
107,34.0,12.3,8,1,0.0374,0.0374,0.0187,0.0,per-042,3,False
143,26.6,14.0,10,1,0.021,0.0559,0.0,0.0,per-042,5,False
87,49.2,10.0,3,2,0.046,0.046,0.0,0.0,per-043,1,False
115,40.7,11.2,7,2,0.0348,0.0435,0.0087,0.0,per-043,3,False
162,32.1,12.4,8,2,0.0432,0.0494,0.0062,0.0,per-043,5,False
86,45.4,9.6,7,2,0.0233,0.0465,0.0,0.0,per-044,1,False
135,39.3,11.5,12,1,0.037,0.037,0.0074,0.0,per-044,3,False
183,34.2,12.3,16,2,0.0273,0.0546,0.0,0.0,per-044,5,False
79,42.5,10.6,2,2,0.038,0.0506,0.0,0.0,per-045,1,False
117,35.9,12.4,5,3,0.0342,0.0427,0.0085,0.0,per-045,3,False
153,29.3,13.9,10,0,0.0327,0.0523,0.0065,0.0,per-045,5,False
87,28.9,12.3,3,2,0.046,0.0345,0.0,0.0,per-046,1,False
106,28.6,13.0,7,1,0.0283,0.0472,0.0094,0.0,per-046,3,False
136,22.3,13.9,9,1,0.0221,0.0588,0.0,0.0,per-046,5,False
86,38.8,11.4,4,2,0.0233,0.0465,0.0,0.0,per-047,1,False
127,27.5,13.4,8,2,0.0394,0.0551,0.0,0.0,per-047,3,False
176,30.0,12.7,11,3,0.0284,0.0511,0.0,0.0,per-047,5,False
75,38.2,11.7,4,0,0.04,0.0533,0.0267,0.0,per-048,1,False
119,30.3,13.3,6,1,0.042,0.042,0.0168,0.0,per-048,3,False
156,30.3,12.6,11,2,0.0321,0.0449,0.0,0.0,per-048,5,False
85,50.1,9.8,3,2,0.0471,0.0588,0.0,0.0,per-049,1,False
127,30.1,12.2,8,2,0.0315,0.0472,0.0079,0.0,per-049,3,False
157,37.8,11.2,10,1,0.0255,0.051,0.0064,0.0,per-049,5,False
81,36.8,10.6,7,2,0.0247,0.0494,0.0,0.0,per-050,1,False
105,42.0,10.7,4,1,0.0286,0.0571,0.0,0.0,per-050,3,False
149,38.4,11.6,7,2,0.0268,0.0604,0.0,0.0,per-050,5,False
76,42.6,10.5,2,2,0.0263,0.0658,0.0,0.0,per-051,1,False
123,31.5,13.2,9,2,0.0407,0.065,0.0081,0.0,per-051,3,False
150,35.9,12.0,11,3,0.0267,0.06,0.0133,0.0,per-051,5,False
86,24.8,12.5,6,3,0.0465,0.0465,0.0,0.0,per-052,1,False
113,32.4,11.9,5,4,0.0177,0.0796,0.0088,0.0,per-052,3,False
160,33.4,12.2,8,2,0.0437,0.0563,0.0,0.0,per-052,5,False
79,38.0,10.8,3,2,0.038,0.0759,0.0,0.0,per-053,1,False
136,23.5,14.2,9,2,0.0294,0.0515,0.0074,0.0,per-053,3,False
179,28.7,13.3,11,1,0.0335,0.0615,0.0056,0.0,per-053,5,False
77,40.0,10.9,4,2,0.039,0.0519,0.0,0.0,per-054,1,False
127,36.6,11.0,9,3,0.0394,0.0394,0.0079,0.0,per-054,3,False
152,26.4,13.0,12,2,0.0197,0.0592,0.0066,0.0,per-054,5,False
74,41.8,10.1,5,2,0.0541,0.0541,0.0,0.0,per-055,1,False
112,35.6,11.4,7,2,0.0446,0.0446,0.0089,0.0,per-055,3,False
150,33.4,12.0,12,2,0.0267,0.0467,0.0067,0.0,per-055,5,False
80,34.7,11.7,3,2,0.025,0.0625,0.0,0.0,per-056,1,False
128,22.7,14.1,9,2,0.0469,0.0469,0.0078,0.0,per-056,3,False
148,25.7,14.3,8,2,0.0405,0.0541,0.0,0.0,per-056,5,False
88,37.2,11.7,5,2,0.0341,0.0568,0.0,0.0,per-057,1,False
107,31.4,13.3,4,1,0.0374,0.0467,0.0,0.0,per-057,3,False
132,28.7,13.9,8,2,0.0303,0.053,0.0,0.0,per-057,5,False
83,41.4,10.1,5,2,0.0361,0.0482,0.0,0.0,per-058,1,False
111,35.0,11.4,5,1,0.036,0.0541,0.009,0.0,per-058,3,False
156,26.7,13.4,10,1,0.0256,0.0449,0.0064,0.0,per-058,5,False
74,22.3,12.8,4,2,0.027,0.0676,0.0,0.0,per-059,1,False
122,28.7,12.6,7,1,0.0328,0.0574,0.0082,0.0,per-059,3,False
172,25.1,14.0,11,1,0.0291,0.0523,0.0116,0.0,per-059,5,False
78,33.9,11.3,3,2,0.0385,0.0513,0.0,0.0,per-060,1,False
110,30.6,12.4,6,1,0.0273,0.0545,0.0182,0.0,per-060,3,False
156,24.5,13.7,7,2,0.0192,0.0449,0.0064,0.0,per-060,5,False
73,38.0,11.0,3,2,0.0274,0.0548,0.0,0.0,per-061,1,False
107,18.2,14.5,4,2,0.0187,0.0374,0.0093,0.0,per-061,3,False
166,27.9,13.5,9,3,0.0361,0.0542,0.006,0.0,per-061,5,False
85,37.2,11.6,5,1,0.0471,0.0471,0.0118,0.0,per-062,1,False
113,32.5,12.7,7,1,0.0177,0.0619,0.0,0.0,per-062,3,False
155,23.5,13.8,13,2,0.0323,0.0645,0.0,0.0,per-062,5,False
81,57.2,8.2,3,2,0.0494,0.0494,0.0123,0.0,per-063,1,False
90,21.5,13.1,4,2,0.0222,0.0778,0.0,0.0,per-063,3,False
166,26.7,13.0,10,2,0.0241,0.0542,0.0,0.0,per-063,5,False
80,52.5,8.8,1,2,0.025,0.0625,0.0,0.0,per-064,1,False
119,41.0,11.2,4,2,0.0504,0.0504,0.0084,0.0,per-064,3,False
112,45.3,10.4,4,2,0.0446,0.0714,0.0089,0.0,per-064,5,False
73,33.4,11.6,2,2,0.0274,0.0685,0.0,0.0,per-065,1,False
129,36.9,11.7,5,2,0.0465,0.0465,0.0078,0.0,per-065,3,False
174,27.9,13.3,9,2,0.0172,0.0517,0.0,0.0,per-065,5,False
80,31.5,12.2,4,2,0.025,0.0875,0.0,0.0,per-066,1,False
123,25.5,13.5,8,2,0.0325,0.065,0.0081,0.0,per-066,3,False
168,23.1,13.8,11,1,0.0119,0.0595,0.0,0.0,per-066,5,False
81,34.2,11.4,6,3,0.037,0.0494,0.0,0.0,per-067,1,False
133,34.8,12.5,8,3,0.0376,0.0602,0.0075,0.0,per-067,3,False
172,33.4,12.2,10,2,0.0407,0.0698,0.0058,0.0,per-067,5,False
75,55.0,8.3,3,2,0.04,0.0533,0.0,0.0,per-068,1,False
110,33.7,12.0,6,2,0.0273,0.0455,0.0091,0.0,per-068,3,False
141,33.5,13.0,9,1,0.0284,0.0426,0.0142,0.0,per-068,5,False
78,28.5,12.1,3,1,0.0128,0.0513,0.0,0.0,per-069,1,False
124,34.2,12.3,4,2,0.0242,0.0484,0.0,0.0,per-069,3,False
166,35.1,12.1,8,1,0.0361,0.0542,0.012,0.0,per-069,5,False
78,30.9,12.2,3,1,0.0385,0.0385,0.0,0.0,per-070,1,False
107,31.1,11.9,6,2,0.0374,0.0467,0.0,0.0,per-070,3,False
185,25.2,13.6,9,2,0.0378,0.0432,0.0054,0.0,per-070,5,False
80,51.4,8.9,3,2,0.0375,0.05,0.0,0.0,per-071,1,False
115,31.1,12.5,8,1,0.0348,0.0435,0.0,0.0,per-071,3,False
137,34.2,11.9,9,2,0.0219,0.0657,0.0,0.0,per-071,5,False
73,32.8,11.3,3,1,0.0274,0.0411,0.0,0.0,per-072,1,False
121,35.8,11.3,10,2,0.0331,0.0413,0.0083,0.0,per-072,3,False
155,32.6,12.2,12,2,0.0323,0.0581,0.0,0.0,per-072,5,False
79,44.6,10.3,3,2,0.038,0.0633,0.0,0.0,per-073,1,False
118,32.0,13.0,5,2,0.0593,0.0339,0.0085,0.0,per-073,3,False
136,23.5,14.8,6,4,0.0294,0.0809,0.0074,0.0,per-073,5,False
78,38.3,10.7,4,2,0.0385,0.0513,0.0,0.0,per-074,1,False
117,35.3,11.6,6,1,0.0256,0.0427,0.0085,0.0,per-074,3,False
153,34.3,12.3,12,2,0.0196,0.0523,0.0,0.0,per-074,5,False
75,46.4,9.9,1,2,0.04,0.0667,0.0,0.0,per-075,1,False
101,36.4,11.8,3,1,0.0396,0.0396,0.0,0.0,per-075,3,False
143,33.9,12.5,6,2,0.035,0.0629,0.0,0.0,per-075,5,False
91,45.5,10.7,2,2,0.0549,0.044,0.0,0.0,per-076,1,False
119,29.6,13.4,6,1,0.0252,0.0756,0.0,0.0,per-076,3,False
136,29.1,13.4,9,1,0.0294,0.0588,0.0147,0.0,per-076,5,False
77,35.3,11.1,3,2,0.039,0.026,0.013,0.0,per-077,1,False
105,20.0,14.2,6,2,0.0381,0.0476,0.0095,0.0,per-077,3,False
153,18.8,14.4,7,2,0.0196,0.0523,0.0065,0.0065,per-077,5,False
83,46.0,10.3,4,1,0.0602,0.0361,0.012,0.0,per-078,1,False
110,26.8,12.6,7,2,0.0364,0.0455,0.0091,0.0,per-078,3,False
140,24.1,13.1,9,2,0.05,0.05,0.0071,0.0,per-078,5,False
88,31.6,12.0,5,1,0.0568,0.0341,0.0114,0.0,per-079,1,False
144,33.0,12.2,8,3,0.0347,0.0417,0.0,0.0,per-079,3,False
164,18.4,14.8,12,3,0.0183,0.0671,0.0061,0.0,per-079,5,False
76,28.1,12.5,3,2,0.0263,0.0526,0.0,0.0,per-080,1,False
122,15.8,15.4,6,2,0.0328,0.0574,0.0,0.0,per-080,3,False
135,23.6,14.2,8,2,0.0296,0.0667,0.0,0.0,per-080,5,False
80,40.0,11.0,2,2,0.05,0.0625,0.0,0.0,per-081,1,False
123,38.2,11.3,4,1,0.0407,0.0488,0.0081,0.0,per-081,3,False
137,33.0,12.1,6,2,0.0292,0.0511,0.0073,0.0,per-081,5,False
80,43.0,10.1,3,2,0.05,0.0375,0.0,0.0,per-082,1,False
111,28.4,13.2,7,3,0.036,0.0721,0.009,0.0,per-082,3,False
154,21.4,15.1,11,2,0.0325,0.0584,0.0,0.0,per-082,5,False
79,37.1,11.4,3,2,0.038,0.0633,0.0,0.0,per-083,1,False
111,29.2,13.1,7,2,0.045,0.0631,0.009,0.0,per-083,3,False
136,27.8,13.6,7,2,0.0368,0.0662,0.0,0.0,per-083,5,False
82,42.3,10.3,3,2,0.0366,0.061,0.0,0.0,per-084,1,False
123,28.9,13.0,7,2,0.0325,0.0488,0.0081,0.0,per-084,3,False
178,22.4,14.6,11,3,0.0337,0.0506,0.0056,0.0,per-084,5,False
68,29.9,11.9,2,2,0.0294,0.0588,0.0,0.0,per-085,1,False
105,14.4,15.0,9,1,0.019,0.0476,0.0,0.0,per-085,3,False
163,18.0,14.8,11,2,0.0307,0.0613,0.0,0.0,per-085,5,False
81,29.0,12.1,5,2,0.0247,0.0494,0.0,0.0,per-086,1,False
120,32.6,12.0,6,2,0.0417,0.0417,0.0083,0.0,per-086,3,False
151,25.7,13.4,8,2,0.0265,0.0596,0.0066,0.0,per-086,5,False
84,55.7,8.5,4,2,0.0357,0.0476,0.0,0.0,per-087,1,False
134,25.8,14.4,7,2,0.0373,0.0448,0.0075,0.0,per-087,3,False
155,31.6,12.1,8,2,0.0323,0.0516,0.0,0.0,per-087,5,False
86,48.7,10.0,4,2,0.0349,0.0581,0.0,0.0,per-088,1,False
131,29.3,12.8,6,2,0.0382,0.0534,0.0076,0.0,per-088,3,False
179,28.2,13.4,11,1,0.0223,0.0447,0.0,0.0,per-088,5,False
76,45.5,9.6,3,2,0.0263,0.0526,0.0,0.0,per-089,1,False
112,33.2,12.1,6,2,0.0536,0.0446,0.0089,0.0,per-089,3,False
125,31.3,12.8,8,1,0.024,0.056,0.0,0.0,per-089,5,False
83,50.7,8.5,5,2,0.0482,0.0602,0.0,0.0,per-090,1,False
107,36.5,10.6,9,2,0.0467,0.0467,0.0,0.0,per-090,3,False
134,32.9,12.0,11,2,0.0299,0.0597,0.0075,0.0,per-090,5,False
83,29.7,12.1,4,2,0.0241,0.0482,0.0,0.0,per-091,1,False
129,20.5,14.0,8,2,0.0155,0.0465,0.0078,0.0,per-091,3,False
148,27.2,13.1,8,2,0.027,0.0473,0.0068,0.0,per-091,5,False
95,33.6,11.5,6,2,0.0316,0.0526,0.0,0.0,per-092,1,False
119,23.1,12.7,8,2,0.0168,0.042,0.0084,0.0,per-092,3,False
152,30.3,12.5,11,4,0.0263,0.0724,0.0066,0.0,per-092,5,False
94,37.5,11.4,5,3,0.0213,0.0426,0.0,0.0,per-093,1,False
124,29.1,12.6,12,1,0.0242,0.0484,0.0,0.0,per-093,3,False
171,24.3,13.7,14,2,0.0175,0.0468,0.0058,0.0,per-093,5,False
85,49.1,9.9,4,1,0.0471,0.0471,0.0118,0.0,per-094,1,False
108,40.8,11.4,4,2,0.0463,0.0463,0.0093,0.0,per-094,3,False
159,35.9,12.2,9,1,0.0377,0.0503,0.0063,0.0,per-094,5,False
75,38.0,10.6,5,3,0.0533,0.04,0.0,0.0,per-095,1,False
117,19.2,14.7,6,1,0.0342,0.0342,0.0171,0.0,per-095,3,False
165,18.0,15.3,12,1,0.0242,0.0424,0.0061,0.0,per-095,5,False
74,41.1,10.6,3,1,0.0405,0.0405,0.0,0.0,per-096,1,False
115,32.0,12.0,5,2,0.0522,0.0522,0.0,0.0,per-096,3,False
150,24.4,13.2,10,1,0.0333,0.0467,0.0,0.0,per-096,5,False
74,30.8,12.0,2,2,0.0405,0.0405,0.0,0.0,per-097,1,False
116,28.2,12.5,7,1,0.0345,0.0517,0.0086,0.0,per-097,3,False
160,23.0,13.4,10,2,0.025,0.0625,0.0,0.0,per-097,5,False
74,36.5,11.2,3,2,0.0405,0.0676,0.0,0.0,per-098,1,False
111,19.0,13.7,5,0,0.036,0.0541,0.009,0.0,per-098,3,False
136,19.5,13.9,8,2,0.0294,0.0662,0.0,0.0,per-098,5,False
84,40.5,11.1,3,2,0.0476,0.0357,0.0,0.0,per-099,1,False
105,27.2,13.2,8,2,0.0381,0.0667,0.0,0.0,per-099,3,False
129,20.6,14.4,10,2,0.0233,0.0543,0.0,0.0,per-099,5,False
76,17.0,14.0,3,2,0.0263,0.0526,0.0,0.0,per-100,1,False
138,29.3,14.1,8,1,0.029,0.058,0.0072,0.0,per-100,3,False
172,20.8,14.2,10,2,0.0233,0.0581,0.0,0.0,per-100,5,False
